Mes y año	Sector de actividad	Sexo	Afiliaciones en alta
Septiembre 2017	Agricultura, ganadería y pesca	Mujeres	4669
Septiembre 2017	Industria y energía	Hombres	6844
Septiembre 2017	Industria y energía	Mujeres	2746
Septiembre 2017	Construcción	Hombres	11035
Septiembre 2017	Construcción	Mujeres	1038
Septiembre 2017	Servicios	Hombres	36766
Septiembre 2017	Servicios	Mujeres	27704
Junio 2017	Agricultura, ganadería y pesca	Hombres	14388
Junio 2017	Agricultura, ganadería y pesca	Mujeres	4701
Junio 2017	Industria y energía	Hombres	6792
Junio 2017	Industria y energía	Mujeres	2714
Junio 2017	Construcción	Hombres	11083
Junio 2017	Construcción	Mujeres	1047
Junio 2017	Servicios	Hombres	36931
Junio 2017	Servicios	Mujeres	27943
Marzo 2017	Agricultura, ganadería y pesca	Hombres	14321
Marzo 2017	Agricultura, ganadería y pesca	Mujeres	4693
Marzo 2017	Industria y energía	Hombres	6847
Marzo 2017	Industria y energía	Mujeres	2713
Marzo 2017	Construcción	Hombres	10981
Marzo 2017	Construcción	Mujeres	1045
Marzo 2017	Servicios	Hombres	36674
Marzo 2017	Servicios	Mujeres	27580
Diciembre 2016	Agricultura, ganadería y pesca	Hombres	14305
Diciembre 2016	Agricultura, ganadería y pesca	Mujeres	4676
Diciembre 2016	Industria y energía	Hombres	6701
Diciembre 2016	Industria y energía	Mujeres	2700
Diciembre 2016	Construcción	Hombres	11035
Diciembre 2016	Construcción	Mujeres	1036
Diciembre 2016	Servicios	Hombres	37055
Diciembre 2016	Servicios	Mujeres	28016
Septiembre 2016	Agricultura, ganadería y pesca	Hombres	14368
Septiembre 2016	Agricultura, ganadería y pesca	Mujeres	4715
Septiembre 2016	Industria y energía	Hombres	6657
Septiembre 2016	Industria y energía	Mujeres	2650
Septiembre 2016	Construcción	Hombres	11171
Septiembre 2016	Construcción	Mujeres	1040
Septiembre 2016	Servicios	Hombres	36877
Septiembre 2016	Servicios	Mujeres	27752
Junio 2016	Agricultura, ganadería y pesca	Hombres	14432
Junio 2016	Agricultura, ganadería y pesca	Mujeres	4743
Junio 2016	Industria y energía	Hombres	6705
Junio 2016	Industria y energía	Mujeres	2639
Junio 2016	Construcción	Hombres	11356
Junio 2016	Construcción	Mujeres	1049
Junio 2016	Servicios	Hombres	37113
Junio 2016	Servicios	Mujeres	28133
Marzo 2016	Agricultura, ganadería y pesca	Hombres	14351
Marzo 2016	Agricultura, ganadería y pesca	Mujeres	4685
Marzo 2016	Industria y energía	Hombres	6617
Marzo 2016	Industria y energía	Mujeres	2612
Marzo 2016	Construcción	Hombres	11243
Marzo 2016	Construcción	Mujeres	1044
Marzo 2016	Servicios	Hombres	36967
Marzo 2016	Servicios	Mujeres	27860
Diciembre 2015	Agricultura, ganadería y pesca	Hombres	14382
Diciembre 2015	Agricultura, ganadería y pesca	Mujeres	4721
Diciembre 2015	Industria y energía	Hombres	6579
Diciembre 2015	Industria y energía	Mujeres	2619
Diciembre 2015	Construcción	Hombres	11416
Diciembre 2015	Construcción	Mujeres	1055
Diciembre 2015	Servicios	Hombres	37201
Diciembre 2015	Servicios	Mujeres	28030
Septiembre 2015	Agricultura, ganadería y pesca	Hombres	14433
Septiembre 2015	Agricultura, ganadería y pesca	Mujeres	4736
Septiembre 2015	Industria y energía	Hombres	6396
Septiembre 2015	Industria y energía	Mujeres	2550
Septiembre 2015	Construcción	Hombres	11503
Septiembre 2015	Construcción	Mujeres	1046
Septiembre 2015	Servicios	Hombres	37231
Septiembre 2015	Servicios	Mujeres	27813
Junio 2015	Agricultura, ganadería y pesca	Hombres	14505
Junio 2015	Agricultura, ganadería y pesca	Mujeres	4766
Junio 2015	Industria y energía	Hombres	6323
Junio 2015	Industria y energía	Mujeres	2511
Junio 2015	Construcción	Hombres	11608
Junio 2015	Construcción	Mujeres	1052
Junio 2015	Servicios	Hombres	37481
Junio 2015	Servicios	Mujeres	28085
Marzo 2015	Agricultura, ganadería y pesca	Hombres	14461
Marzo 2015	Agricultura, ganadería y pesca	Mujeres	4709
Marzo 2015	Industria y energía	Hombres	6249
Marzo 2015	Industria y energía	Mujeres	2458
Marzo 2015	Construcción	Hombres	11384
Marzo 2015	Construcción	Mujeres	1050
Marzo 2015	Servicios	Hombres	37148
Marzo 2015	Servicios	Mujeres	27666
Diciembre 2014	Agricultura, ganadería y pesca	Hombres	14526
Diciembre 2014	Agricultura, ganadería y pesca	Mujeres	4702
Diciembre 2014	Industria y energía	Hombres	6282
Diciembre 2014	Industria y energía	Mujeres	2480
Diciembre 2014	Construcción	Hombres	11403
Diciembre 2014	Construcción	Mujeres	1059
Diciembre 2014	Servicios	Hombres	37241
Diciembre 2014	Servicios	Mujeres	27998
Septiembre 2014	Agricultura, ganadería y pesca	Hombres	14564
Septiembre 2014	Agricultura, ganadería y pesca	Mujeres	4728
Septiembre 2014	Industria y energía	Hombres	6220
Septiembre 2014	Industria y energía	Mujeres	2426
Septiembre 2014	Construcción	Hombres	11557
Septiembre 2014	Construcción	Mujeres	1057
Septiembre 2014	Servicios	Hombres	37053
Septiembre 2014	Servicios	Mujeres	27617
Junio 2014	Agricultura, ganadería y pesca	Hombres	14594
Junio 2014	Agricultura, ganadería y pesca	Mujeres	4736
Junio 2014	Industria y energía	Hombres	6196
Junio 2014	Industria y energía	Mujeres	2420
Junio 2014	Construcción	Hombres	11570
Junio 2014	Construcción	Mujeres	1062
Junio 2014	Servicios	Hombres	37048
Junio 2014	Servicios	Mujeres	27536
Marzo 2014	Agricultura, ganadería y pesca	Hombres	14512
Marzo 2014	Agricultura, ganadería y pesca	Mujeres	4697
Marzo 2014	Industria y energía	Hombres	6101
Marzo 2014	Industria y energía	Mujeres	2354
Marzo 2014	Construcción	Hombres	11438
Marzo 2014	Construcción	Mujeres	1068
Marzo 2014	Servicios	Hombres	36445
Marzo 2014	Servicios	Mujeres	26926
Diciembre 2013	Agricultura, ganadería y pesca	Hombres	14466
Diciembre 2013	Agricultura, ganadería y pesca	Mujeres	4685
Diciembre 2013	Industria y energía	Hombres	6020
Diciembre 2013	Industria y energía	Mujeres	2337
Diciembre 2013	Construcción	Hombres	11546
Diciembre 2013	Construcción	Mujeres	1079
Diciembre 2013	Servicios	Hombres	36587
Diciembre 2013	Servicios	Mujeres	26988
Septiembre 2013	Agricultura, ganadería y pesca	Hombres	14498
Septiembre 2013	Agricultura, ganadería y pesca	Mujeres	4711
Septiembre 2013	Industria y energía	Hombres	5998
Septiembre 2013	Industria y energía	Mujeres	2331
Septiembre 2013	Construcción	Hombres	11636
Septiembre 2013	Construcción	Mujeres	1074
Septiembre 2013	Servicios	Hombres	36375
Septiembre 2013	Servicios	Mujeres	26626
Junio 2013	Agricultura, ganadería y pesca	Hombres	14528
Junio 2013	Agricultura, ganadería y pesca	Mujeres	4735
Junio 2013	Industria y energía	Hombres	5983
Junio 2013	Industria y energía	Mujeres	2323
Junio 2013	Construcción	Hombres	11744
Junio 2013	Construcción	Mujeres	1075
Junio 2013	Servicios	Hombres	36127
Junio 2013	Servicios	Mujeres	26569
Marzo 2013	Agricultura, ganadería y pesca	Hombres	14585
Marzo 2013	Agricultura, ganadería y pesca	Mujeres	4697
Marzo 2013	Industria y energía	Hombres	6021
Marzo 2013	Industria y energía	Mujeres	2301
Marzo 2013	Construcción	Hombres	11643
Marzo 2013	Construcción	Mujeres	1118
Marzo 2013	Servicios	Hombres	35697
Marzo 2013	Servicios	Mujeres	26179
Diciembre 2012	Agricultura, ganadería y pesca	Hombres	14577
Diciembre 2012	Agricultura, ganadería y pesca	Mujeres	4668
Diciembre 2012	Industria y energía	Hombres	6107
Diciembre 2012	Industria y energía	Mujeres	2335
Diciembre 2012	Construcción	Hombres	11911
Diciembre 2012	Construcción	Mujeres	1143
Diciembre 2012	Servicios	Hombres	35812
Diciembre 2012	Servicios	Mujeres	26296
Septiembre 2012	Agricultura, ganadería y pesca	Hombres	14633
Septiembre 2012	Agricultura, ganadería y pesca	Mujeres	4718
Septiembre 2012	Industria y energía	Hombres	6167
Septiembre 2012	Industria y energía	Mujeres	2340
Septiembre 2012	Construcción	Hombres	12284
Septiembre 2012	Construcción	Mujeres	1175
Septiembre 2012	Servicios	Hombres	35931
Septiembre 2012	Servicios	Mujeres	26213
Junio 2012	Agricultura, ganadería y pesca	Hombres	14726
Junio 2012	Agricultura, ganadería y pesca	Mujeres	4728
Junio 2012	Industria y energía	Hombres	6193
Junio 2012	Industria y energía	Mujeres	2335
Junio 2012	Construcción	Hombres	12444
Junio 2012	Construcción	Mujeres	1197
Junio 2012	Servicios	Hombres	35997
Junio 2012	Servicios	Mujeres	26323
Marzo 2012	Agricultura, ganadería y pesca	Hombres	14741
Marzo 2012	Agricultura, ganadería y pesca	Mujeres	4707
Marzo 2012	Industria y energía	Hombres	6252
Marzo 2012	Industria y energía	Mujeres	2373
Marzo 2012	Construcción	Hombres	12493
Marzo 2012	Construcción	Mujeres	1230
Marzo 2012	Servicios	Hombres	35694
Marzo 2012	Servicios	Mujeres	26148
Diciembre 2011	Agricultura, ganadería y pesca	Hombres	14842
Diciembre 2011	Agricultura, ganadería y pesca	Mujeres	4709
Diciembre 2011	Industria y energía	Hombres	6326
Diciembre 2011	Industria y energía	Mujeres	2447
Diciembre 2011	Construcción	Hombres	12745
Diciembre 2011	Construcción	Mujeres	1265
Diciembre 2011	Servicios	Hombres	35843
Diciembre 2011	Servicios	Mujeres	26284
Septiembre 2011	Agricultura, ganadería y pesca	Hombres	14893
Septiembre 2011	Agricultura, ganadería y pesca	Mujeres	4736
Septiembre 2011	Industria y energía	Hombres	6352
Septiembre 2011	Industria y energía	Mujeres	2460
Septiembre 2011	Construcción	Hombres	13006
Septiembre 2011	Construcción	Mujeres	1288
Septiembre 2011	Servicios	Hombres	35829
Septiembre 2011	Servicios	Mujeres	26210
Junio 2011	Agricultura, ganadería y pesca	Hombres	15035
Junio 2011	Agricultura, ganadería y pesca	Mujeres	4778
Junio 2011	Industria y energía	Hombres	6418
Junio 2011	Industria y energía	Mujeres	2471
Junio 2011	Construcción	Hombres	13265
Junio 2011	Construcción	Mujeres	1326
Junio 2011	Servicios	Hombres	35888
Junio 2011	Servicios	Mujeres	26344
Marzo 2011	Agricultura, ganadería y pesca	Hombres	15114
Marzo 2011	Agricultura, ganadería y pesca	Mujeres	4796
Marzo 2011	Industria y energía	Hombres	6421
Marzo 2011	Industria y energía	Mujeres	2466
Marzo 2011	Construcción	Hombres	13261
Marzo 2011	Construcción	Mujeres	1329
Marzo 2011	Servicios	Hombres	35724
Marzo 2011	Servicios	Mujeres	26200
Diciembre 2010	Agricultura, ganadería y pesca	Hombres	15224
Diciembre 2010	Agricultura, ganadería y pesca	Mujeres	4777
Diciembre 2010	Industria y energía	Hombres	6519
Diciembre 2010	Industria y energía	Mujeres	2509
Diciembre 2010	Construcción	Hombres	13523
Diciembre 2010	Construcción	Mujeres	1341
Diciembre 2010	Servicios	Hombres	35913
Diciembre 2010	Servicios	Mujeres	26378
Septiembre 2010	Agricultura, ganadería y pesca	Hombres	15305
Septiembre 2010	Agricultura, ganadería y pesca	Mujeres	4786
Septiembre 2010	Industria y energía	Hombres	6560
Septiembre 2010	Industria y energía	Mujeres	2516
Septiembre 2010	Construcción	Hombres	13871
Septiembre 2010	Construcción	Mujeres	1373
Septiembre 2010	Servicios	Hombres	35824
Septiembre 2010	Servicios	Mujeres	26271
Junio 2010	Agricultura, ganadería y pesca	Hombres	15459
Junio 2010	Agricultura, ganadería y pesca	Mujeres	4795
Junio 2010	Industria y energía	Hombres	6601
Junio 2010	Industria y energía	Mujeres	2500
Junio 2010	Construcción	Hombres	14210
Junio 2010	Construcción	Mujeres	1390
Junio 2010	Servicios	Hombres	36068
Junio 2010	Servicios	Mujeres	26393
Marzo 2010	Agricultura, ganadería y pesca	Hombres	15573
Marzo 2010	Agricultura, ganadería y pesca	Mujeres	4810
Marzo 2010	Industria y energía	Hombres	6665
Marzo 2010	Industria y energía	Mujeres	2517
Marzo 2010	Construcción	Hombres	14364
Marzo 2010	Construcción	Mujeres	1416
Marzo 2010	Servicios	Hombres	35914
Marzo 2010	Servicios	Mujeres	26263
