Mes (código)	Mes y año	Número Empresas	Estrato	'Aragón'
201312	Diciembre 2013	4	09 De 5000 o más afiliados	Aragón
201309	Septiembre 2013	35861	01 De 1 a 9 afiliados	Aragón
201309	Septiembre 2013	2860	02 De 10 a 19 afiliados	Aragón
201309	Septiembre 2013	1716	03 De 20 a 49 afiliados	Aragón
201309	Septiembre 2013	531	04 De 50 a 99 afiliados	Aragón
201309	Septiembre 2013	203	05 De 100 a 199 afiliados	Aragón
201309	Septiembre 2013	137	06 De 200 a 499 afiliados	Aragón
201309	Septiembre 2013	33	07 De 500 a 999 afiliados	Aragón
201309	Septiembre 2013	15	08 De 1000 a 4999 afiliados	Aragón
201309	Septiembre 2013	4	09 De 5000 o más afiliados	Aragón
201306	Junio 2013	36631	01 De 1 a 9 afiliados	Aragón
201306	Junio 2013	3003	02 De 10 a 19 afiliados	Aragón
201306	Junio 2013	1766	03 De 20 a 49 afiliados	Aragón
201306	Junio 2013	573	04 De 50 a 99 afiliados	Aragón
201306	Junio 2013	203	05 De 100 a 199 afiliados	Aragón
201306	Junio 2013	145	06 De 200 a 499 afiliados	Aragón
201306	Junio 2013	34	07 De 500 a 999 afiliados	Aragón
201306	Junio 2013	14	08 De 1000 a 4999 afiliados	Aragón
201306	Junio 2013	4	09 De 5000 o más afiliados	Aragón
201303	Marzo 2013	35908	01 De 1 a 9 afiliados	Aragón
201303	Marzo 2013	2796	02 De 10 a 19 afiliados	Aragón
201303	Marzo 2013	1671	03 De 20 a 49 afiliados	Aragón
201303	Marzo 2013	537	04 De 50 a 99 afiliados	Aragón
201303	Marzo 2013	198	05 De 100 a 199 afiliados	Aragón
201303	Marzo 2013	135	06 De 200 a 499 afiliados	Aragón
201303	Marzo 2013	36	07 De 500 a 999 afiliados	Aragón
201303	Marzo 2013	13	08 De 1000 a 4999 afiliados	Aragón
201303	Marzo 2013	4	09 De 5000 o más afiliados	Aragón
201212	Diciembre 2012	36230	01 De 1 a 9 afiliados	Aragón
201212	Diciembre 2012	2837	02 De 10 a 19 afiliados	Aragón
201212	Diciembre 2012	1722	03 De 20 a 49 afiliados	Aragón
201212	Diciembre 2012	526	04 De 50 a 99 afiliados	Aragón
201212	Diciembre 2012	200	05 De 100 a 199 afiliados	Aragón
201212	Diciembre 2012	143	06 De 200 a 499 afiliados	Aragón
201212	Diciembre 2012	35	07 De 500 a 999 afiliados	Aragón
201212	Diciembre 2012	13	08 De 1000 a 4999 afiliados	Aragón
201212	Diciembre 2012	4	09 De 5000 o más afiliados	Aragón
201209	Septiembre 2012	36755	01 De 1 a 9 afiliados	Aragón
201209	Septiembre 2012	2957	02 De 10 a 19 afiliados	Aragón
201209	Septiembre 2012	1804	03 De 20 a 49 afiliados	Aragón
201209	Septiembre 2012	547	04 De 50 a 99 afiliados	Aragón
201209	Septiembre 2012	212	05 De 100 a 199 afiliados	Aragón
201209	Septiembre 2012	144	06 De 200 a 499 afiliados	Aragón
201209	Septiembre 2012	37	07 De 500 a 999 afiliados	Aragón
201209	Septiembre 2012	14	08 De 1000 a 4999 afiliados	Aragón
201209	Septiembre 2012	4	09 De 5000 o más afiliados	Aragón
201206	Junio 2012	37515	01 De 1 a 9 afiliados	Aragón
201206	Junio 2012	3068	02 De 10 a 19 afiliados	Aragón
201206	Junio 2012	1910	03 De 20 a 49 afiliados	Aragón
201206	Junio 2012	569	04 De 50 a 99 afiliados	Aragón
201206	Junio 2012	231	05 De 100 a 199 afiliados	Aragón
201206	Junio 2012	139	06 De 200 a 499 afiliados	Aragón
201206	Junio 2012	36	07 De 500 a 999 afiliados	Aragón
201206	Junio 2012	14	08 De 1000 a 4999 afiliados	Aragón
201206	Junio 2012	4	09 De 5000 o más afiliados	Aragón
201203	Marzo 2012	36879	01 De 1 a 9 afiliados	Aragón
201203	Marzo 2012	2917	02 De 10 a 19 afiliados	Aragón
201203	Marzo 2012	1832	03 De 20 a 49 afiliados	Aragón
201203	Marzo 2012	541	04 De 50 a 99 afiliados	Aragón
201203	Marzo 2012	214	05 De 100 a 199 afiliados	Aragón
201203	Marzo 2012	136	06 De 200 a 499 afiliados	Aragón
201203	Marzo 2012	41	07 De 500 a 999 afiliados	Aragón
201203	Marzo 2012	13	08 De 1000 a 4999 afiliados	Aragón
201203	Marzo 2012	4	09 De 5000 o más afiliados	Aragón
201112	Diciembre 2011	35084	01 De 1 a 9 afiliados	Aragón
201112	Diciembre 2011	2956	02 De 10 a 19 afiliados	Aragón
201112	Diciembre 2011	1814	03 De 20 a 49 afiliados	Aragón
201112	Diciembre 2011	546	04 De 50 a 99 afiliados	Aragón
201112	Diciembre 2011	218	05 De 100 a 199 afiliados	Aragón
201112	Diciembre 2011	137	06 De 200 a 499 afiliados	Aragón
201112	Diciembre 2011	40	07 De 500 a 999 afiliados	Aragón
201112	Diciembre 2011	14	08 De 1000 a 4999 afiliados	Aragón
201112	Diciembre 2011	4	09 De 5000 o más afiliados	Aragón
201109	Septiembre 2011	35175	01 De 1 a 9 afiliados	Aragón
201109	Septiembre 2011	3032	02 De 10 a 19 afiliados	Aragón
201109	Septiembre 2011	1878	03 De 20 a 49 afiliados	Aragón
201109	Septiembre 2011	581	04 De 50 a 99 afiliados	Aragón
201109	Septiembre 2011	216	05 De 100 a 199 afiliados	Aragón
201109	Septiembre 2011	138	06 De 200 a 499 afiliados	Aragón
201109	Septiembre 2011	44	07 De 500 a 999 afiliados	Aragón
201109	Septiembre 2011	14	08 De 1000 a 4999 afiliados	Aragón
201109	Septiembre 2011	4	09 De 5000 o más afiliados	Aragón
201106	Junio 2011	40109	01 De 1 a 9 afiliados	Aragón
201106	Junio 2011	3107	02 De 10 a 19 afiliados	Aragón
201106	Junio 2011	1907	03 De 20 a 49 afiliados	Aragón
201106	Junio 2011	576	04 De 50 a 99 afiliados	Aragón
201106	Junio 2011	212	05 De 100 a 199 afiliados	Aragón
201106	Junio 2011	138	06 De 200 a 499 afiliados	Aragón
201106	Junio 2011	36	07 De 500 a 999 afiliados	Aragón
201106	Junio 2011	15	08 De 1000 a 4999 afiliados	Aragón
201106	Junio 2011	4	09 De 5000 o más afiliados	Aragón
201103	Marzo 2011	39993	01 De 1 a 9 afiliados	Aragón
201103	Marzo 2011	3115	02 De 10 a 19 afiliados	Aragón
201103	Marzo 2011	1871	03 De 20 a 49 afiliados	Aragón
201103	Marzo 2011	573	04 De 50 a 99 afiliados	Aragón
201103	Marzo 2011	220	05 De 100 a 199 afiliados	Aragón
201103	Marzo 2011	141	06 De 200 a 499 afiliados	Aragón
201103	Marzo 2011	40	07 De 500 a 999 afiliados	Aragón
201103	Marzo 2011	14	08 De 1000 a 4999 afiliados	Aragón
201103	Marzo 2011	4	09 De 5000 o más afiliados	Aragón
201012	Diciembre 2010	40151	01 De 1 a 9 afiliados	Aragón
201012	Diciembre 2010	3115	02 De 10 a 19 afiliados	Aragón
201012	Diciembre 2010	1908	03 De 20 a 49 afiliados	Aragón
201012	Diciembre 2010	580	04 De 50 a 99 afiliados	Aragón
201012	Diciembre 2010	233	05 De 100 a 199 afiliados	Aragón
201012	Diciembre 2010	137	06 De 200 a 499 afiliados	Aragón
201012	Diciembre 2010	40	07 De 500 a 999 afiliados	Aragón
201012	Diciembre 2010	14	08 De 1000 a 4999 afiliados	Aragón
201012	Diciembre 2010	4	09 De 5000 o más afiliados	Aragón
201009	Septiembre 2010	40199	01 De 1 a 9 afiliados	Aragón
201009	Septiembre 2010	3133	02 De 10 a 19 afiliados	Aragón
201009	Septiembre 2010	1952	03 De 20 a 49 afiliados	Aragón
201009	Septiembre 2010	583	04 De 50 a 99 afiliados	Aragón
201009	Septiembre 2010	231	05 De 100 a 199 afiliados	Aragón
201009	Septiembre 2010	138	06 De 200 a 499 afiliados	Aragón
201009	Septiembre 2010	38	07 De 500 a 999 afiliados	Aragón
201009	Septiembre 2010	17	08 De 1000 a 4999 afiliados	Aragón
201009	Septiembre 2010	4	09 De 5000 o más afiliados	Aragón
201006	Junio 2010	40596	01 De 1 a 9 afiliados	Aragón
201006	Junio 2010	3250	02 De 10 a 19 afiliados	Aragón
201006	Junio 2010	1974	03 De 20 a 49 afiliados	Aragón
201006	Junio 2010	565	04 De 50 a 99 afiliados	Aragón
201006	Junio 2010	231	05 De 100 a 199 afiliados	Aragón
201006	Junio 2010	137	06 De 200 a 499 afiliados	Aragón
201006	Junio 2010	34	07 De 500 a 999 afiliados	Aragón
201006	Junio 2010	17	08 De 1000 a 4999 afiliados	Aragón
201006	Junio 2010	4	09 De 5000 o más afiliados	Aragón
201003	Marzo 2010	40388	01 De 1 a 9 afiliados	Aragón
201003	Marzo 2010	3223	02 De 10 a 19 afiliados	Aragón
201003	Marzo 2010	1979	03 De 20 a 49 afiliados	Aragón
201003	Marzo 2010	558	04 De 50 a 99 afiliados	Aragón
201003	Marzo 2010	238	05 De 100 a 199 afiliados	Aragón
201003	Marzo 2010	142	06 De 200 a 499 afiliados	Aragón
201003	Marzo 2010	30	07 De 500 a 999 afiliados	Aragón
201003	Marzo 2010	18	08 De 1000 a 4999 afiliados	Aragón
201003	Marzo 2010	4	09 De 5000 o más afiliados	Aragón
