CCAA código	CCAA nombre	Año	Sector código	Sector	Rama código	Rama de actividad	Número de actividades
02	Aragón	2011	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	1932
02	Aragón	2011	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	545
02	Aragón	2011	3	Construcción	14	Construcción (cnae 41, 42, 43)	27598
02	Aragón	2011	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	45858
02	Aragón	2011	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	9062
02	Aragón	2011	4	Servicios	17	Hostelería (cnae 55, 56)	15244
02	Aragón	2011	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	2445
02	Aragón	2011	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	4754
02	Aragón	2011	4	Servicios	20	Actividades inmobiliarias (cnae 68)	15301
02	Aragón	2011	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	14894
02	Aragón	2011	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	8016
02	Aragón	2011	4	Servicios	23	Educación (cnae 85)	4214
02	Aragón	2011	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	3671
02	Aragón	2011	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	3697
02	Aragón	2011	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	6986
02	Aragón	2012	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	7774
02	Aragón	2012	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	354
02	Aragón	2012	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	1761
02	Aragón	2012	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	874
02	Aragón	2012	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1275
02	Aragón	2012	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	294
02	Aragón	2012	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	792
02	Aragón	2012	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2362
02	Aragón	2012	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	992
02	Aragón	2012	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	295
02	Aragón	2012	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	1610
02	Aragón	2012	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	1893
02	Aragón	2012	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	565
02	Aragón	2012	3	Construcción	14	Construcción (cnae 41, 42, 43)	23184
02	Aragón	2012	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	43446
02	Aragón	2012	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	8414
02	Aragón	2012	4	Servicios	17	Hostelería (cnae 55, 56)	13421
02	Aragón	2012	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	2234
02	Aragón	2012	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	4448
02	Aragón	2012	4	Servicios	20	Actividades inmobiliarias (cnae 68)	15145
02	Aragón	2012	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	13862
02	Aragón	2012	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	7608
02	Aragón	2012	4	Servicios	23	Educación (cnae 85)	4125
02	Aragón	2012	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	4034
02	Aragón	2012	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	3350
02	Aragón	2012	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	6598
02	Aragón	2013	1	Agricultura, ganadería y pesca	01	Agricultura, ganadería, silvicultura y pesca (cnae 01, 02, 03)	8477
02	Aragón	2013	2	Industria y energía	02	Industrias extractivas (cnae 05, 06, 07, 08, 09)	362
02	Aragón	2013	2	Industria y energía	03	Industria de la alimentación, bebidas y tabaco (cnae 10, 11, 12)	1875
02	Aragón	2013	2	Industria y energía	04	Industria textil, confección de prendas de vestir, cuero y calzado (cnae 13, 14, 15)	993
02	Aragón	2013	2	Industria y energía	05	Industria de la madera y corcho, papel y artes gráficas (cnae 16, 17, 18)	1390
02	Aragón	2013	2	Industria y energía	06	Coquerías y refino de petróleo; industria química; productos farmacéuticos (cnae 19, 20, 21)	302
02	Aragón	2013	2	Industria y energía	07	Fabricación de productos de caucho y plástico y de otros minerales no metálicos (cnae 22, 23)	822
02	Aragón	2013	2	Industria y energía	08	Metalurgia y fabricación de productos metálicos, excepto maquinaria y equipo (cnae 24, 25)	2470
02	Aragón	2013	2	Industria y energía	09	Fabricación de productos informáticos, electrónicos y ópticos; material y equipo eléctrico; maquinaria y equipo (cnae 26, 27, 28)	1030
02	Aragón	2013	2	Industria y energía	10	Fabricación de material de transporte (cnae 29, 30)	306
02	Aragón	2013	2	Industria y energía	11	Fabricación de muebles; otras industrias manufactureras y reparación e instalación de maquinaria y equipo (cnae 31, 32, 33)	1765
02	Aragón	2013	2	Industria y energía	12	Suministro de energía eléctrica, gas, vapor y aire acondicionado (cnae 35)	1906
02	Aragón	2013	2	Industria y energía	13	Suministro de agua, actividades de saneamiento, gestión de residuos y descontaminación (cnae 36, 37, 38, 39)	698
02	Aragón	2013	3	Construcción	14	Construcción (cnae 41, 42, 43)	26314
02	Aragón	2013	4	Servicios	15	Comercio al por mayor y al por menor; reparación de vehículos de motor y motocicletas (cnae 45, 46, 47)	49476
02	Aragón	2013	4	Servicios	16	Transporte y almacenamiento (cnae 49, 50, 51, 52, 53)	9000
02	Aragón	2013	4	Servicios	17	Hostelería (cnae 55, 56)	16001
02	Aragón	2013	4	Servicios	18	Información y comunicaciones (cnae 58, 59, 60, 61, 62, 63)	2746
02	Aragón	2013	4	Servicios	19	Actividades financieras y de seguros (cnae 64, 65, 66)	5228
02	Aragón	2013	4	Servicios	20	Actividades inmobiliarias (cnae 68)	17032
02	Aragón	2013	4	Servicios	21	Actividades profesionales, científicas y técnicas (cnae 69, 70, 71, 72, 73, 74, 75)	16585
02	Aragón	2013	4	Servicios	22	Actividades administrativas y servicios auxliares (cnae 77, 78, 79, 80, 81, 82)	8921
02	Aragón	2013	4	Servicios	23	Educación (cnae 85)	5711
02	Aragón	2013	4	Servicios	24	Actividades sanitarias y de servicios sociales (cnae 86, 87, 88)	5412
02	Aragón	2013	4	Servicios	25	Actividades artísticas, recreativas y de entretenimiento (cnae 90, 91, 92, 93)	4374
02	Aragón	2013	4	Servicios	26	Otros servicios (cnae 94, 95, 96)	7642
