Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C1+C2+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo y otros	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	Viñedo de uva para pasas	(C1) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(C2) OTROS CULTIVOS LEÑOSOS. Total	(D) VIVEROS. Total
16	Valdejalón	2016	Regadío	8766	7635	1526	689	0	458	1650	1882	156	5	0	11	501	3	0	737	17	515	5	510	0	609	609	0	7
16	Valdejalón	2016	Secano	5502	3001	44	1	0	48	285	73	2	0	0	1	2510	1	0	31	5	1114	0	1114	0	1385	1385	0	2
17	Central	2016	Regadío	1620	1060	2	87	0	162	10	35	31	3	0	0	710	10	0	7	3	41	8	33	0	515	515	2	2
17	Central	2016	Secano	433	223	0	1	0	0	0	0	0	0	0	0	218	0	0	0	4	75	0	75	0	135	135	0	0
18	Ribera Baja del Ebro	2016	Regadío	2046	913	11	93	0	73	77	204	49	9	0	1	254	4	0	125	13	20	20	0	0	1113	1113	0	0
18	Ribera Baja del Ebro	2016	Secano	156	66	3	1	0	1	0	1	0	0	0	0	55	0	0	5	0	3	0	3	0	87	87	0	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Regadío	6652	5274	16	84	0	334	639	1385	173	9	0	39	1712	1	0	868	14	130	46	84	0	1233	1233	0	15
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Secano	8904	5292	0	2	0	44	101	148	12	0	0	0	4858	6	0	116	5	426	1	425	0	3179	3179	0	7
20	Comunidad de Calatayud	2016	Regadío	3929	3129	571	819	0	53	824	385	304	0	0	0	163	5	0	2	3	521	4	517	0	214	214	4	61
20	Comunidad de Calatayud	2016	Secano	14498	10216	65	29	0	17	2236	100	121	0	0	0	7631	4	0	0	13	3778	3	3775	0	500	500	0	4
21	Campo de Cariñena	2016	Regadío	5258	1067	176	118	0	51	219	299	24	0	0	0	104	1	0	73	2	3992	13	3979	0	184	184	0	15
21	Campo de Cariñena	2016	Secano	10700	1360	7	0	0	4	67	14	0	0	0	0	1265	0	0	0	3	9010	21	8989	0	328	328	0	2
22	Campo de Belchite	2016	Regadío	2068	641	9	42	0	1	0	0	5	0	0	0	578	6	0	0	0	207	0	207	0	1220	1220	0	0
22	Campo de Belchite	2016	Secano	1862	1520	0	0	0	0	1	0	0	0	0	0	1517	1	0	0	1	261	0	261	0	81	81	0	0
23	Bajo Martín	2016	Regadío	839	266	0	3	0	10	7	103	3	2	0	0	138	0	0	0	0	19	0	19	0	554	554	0	0
23	Bajo Martín	2016	Secano	3287	1547	0	0	0	6	10	3	0	0	0	0	1528	0	0	0	0	175	0	175	0	1565	1565	0	0
24	Campo de Daroca	2016	Regadío	62	57	0	0	0	0	5	0	1	0	0	0	40	11	0	0	0	5	0	5	0	0	0	0	0
24	Campo de Daroca	2016	Secano	2801	1969	0	1	0	1	166	0	4	0	0	0	1788	1	0	0	8	823	0	823	0	9	9	0	0
25	Jiloca	2016	Regadío	17	15	2	0	0	0	5	0	1	0	0	0	0	7	0	0	0	1	0	1	0	0	0	0	1
25	Jiloca	2016	Secano	1103	683	0	0	0	0	29	0	0	0	0	0	621	33	0	0	0	420	0	420	0	0	0	0	0
26	Cuencas Mineras	2016	Regadío	12	6	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	4	0	4	0	2	2	0	0
26	Cuencas Mineras	2016	Secano	926	633	0	0	0	0	0	0	0	0	0	0	629	4	0	0	0	229	1	228	0	64	64	0	0
27	Andorra-Sierra de Arcos	2016	Regadío	85	19	0	0	0	0	13	0	0	0	0	0	3	3	0	0	0	0	0	0	0	66	66	0	0
27	Andorra-Sierra de Arcos	2016	Secano	2655	561	0	0	0	0	14	0	0	0	0	0	545	2	0	0	0	183	0	183	0	1911	1911	0	0
28	Bajo Aragón	2016	Regadío	3602	2393	8	18	0	165	9	1487	43	1	0	0	629	24	0	9	0	6	0	6	0	1203	1203	0	0
28	Bajo Aragón	2016	Secano	16965	7839	0	0	0	6	0	32	4	0	0	0	7794	3	0	0	0	228	0	228	0	8898	8898	0	0
29	Comunidad de Teruel	2016	Regadío	51	50	36	0	0	0	2	0	1	0	0	0	5	6	0	0	0	1	0	1	0	0	0	0	0
29	Comunidad de Teruel	2016	Secano	514	499	12	0	0	0	0	0	0	0	0	0	481	6	0	0	0	15	0	15	0	0	0	0	0
30	Maestrazgo	2016	Regadío	114	23	0	0	0	0	0	8	0	0	0	0	12	3	0	0	0	0	0	0	0	91	91	0	0
30	Maestrazgo	2016	Secano	770	335	0	0	0	0	0	7	0	0	0	0	327	1	0	0	0	53	0	53	0	382	382	0	0
31	Sierra de Albarracín	2016	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Sierra de Albarracín	2016	Secano	3	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
32	Gúdar-Javalambre	2016	Regadío	17	16	0	0	0	0	6	0	0	0	0	0	10	0	0	0	0	1	0	1	0	0	0	0	0
32	Gúdar-Javalambre	2016	Secano	350	347	0	0	0	0	35	0	0	0	0	0	310	2	0	0	0	3	0	3	0	0	0	0	0
33	Matarraña / Matarranya	2016	Regadío	495	228	1	0	0	1	14	131	2	0	0	0	64	2	13	0	0	6	0	6	0	261	261	0	0
33	Matarraña / Matarranya	2016	Secano	18610	8586	0	0	0	0	23	16	1	0	0	0	8516	11	19	0	0	696	0	696	0	9328	9328	0	0
01	La Jacetania	2015	Regadío	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
01	La Jacetania	2015	Secano	75	63	0	0	0	0	1	0	0	0	0	0	62	0	0	0	0	12	0	12	0	0	0	0	0
02	Alto Gállego	2015	Regadío	27	27	21	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2015	Secano	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	0	0
03	Sobrarbe	2015	Regadío	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
03	Sobrarbe	2015	Secano	338	147	1	0	0	0	0	0	0	0	0	0	143	3	0	0	0	29	0	29	0	162	162	0	0
04	La Ribagorza	2015	Regadío	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	0	3	3	0	0
04	La Ribagorza	2015	Secano	998	441	0	0	0	0	1	0	0	0	0	0	425	7	4	0	4	169	0	169	0	388	388	0	0
05	Cinco Villas	2015	Regadío	1278	862	26	14	0	1	3	4	0	0	0	0	796	16	0	0	2	66	0	66	0	348	348	0	2
05	Cinco Villas	2015	Secano	1307	945	0	0	0	0	0	0	0	0	0	0	942	0	0	0	3	205	0	205	0	152	152	0	5
06	Hoya de Huesca / Plana de Uesca	2015	Regadío	1092	546	62	14	0	0	46	10	0	0	0	0	396	2	0	9	7	46	0	46	0	498	498	0	2
06	Hoya de Huesca / Plana de Uesca	2015	Secano	5676	4538	0	0	0	0	22	0	0	0	0	0	4487	2	0	0	27	431	1	430	0	704	704	0	3
07	Somontano de Barbastro	2015	Regadío	1514	185	2	37	0	1	22	2	7	0	0	0	92	9	0	12	1	1140	0	1140	0	189	189	0	0
07	Somontano de Barbastro	2015	Secano	7576	2510	0	0	0	0	0	3	2	0	0	0	2498	2	0	0	5	2692	4	2688	0	2371	2371	0	3
08	Cinca Medio	2015	Regadío	2706	2298	115	294	0	29	101	889	11	20	0	0	255	7	0	555	22	59	1	58	0	349	349	0	0
08	Cinca Medio	2015	Secano	355	116	0	0	0	0	0	5	0	0	0	0	106	0	0	4	1	16	0	16	0	223	223	0	0
09	La Litera / La Llitera	2015	Regadío	1729	1474	236	265	1	14	7	433	31	5	0	0	200	74	0	195	13	91	0	91	0	164	164	0	0
09	La Litera / La Llitera	2015	Secano	1582	609	0	0	0	0	0	1	0	0	0	0	606	1	0	1	0	15	0	15	0	958	958	0	0
10	Los Monegros	2015	Regadío	906	696	113	43	1	23	0	157	1	0	0	0	273	2	0	64	19	13	0	13	0	197	197	0	0
10	Los Monegros	2015	Secano	1279	665	0	0	0	0	0	3	0	0	0	0	658	0	0	0	4	188	0	188	0	426	426	0	0
11	Bajo Cinca / Baix Cinca	2015	Regadío	14094	12826	168	569	17	537	713	5222	41	6	0	0	1055	101	1	4325	71	359	28	331	0	900	900	5	4
11	Bajo Cinca / Baix Cinca	2015	Secano	2802	2256	0	2	0	46	53	139	32	0	0	0	1859	0	0	112	13	18	4	14	0	528	528	0	0
12	Tarazona y el Moncayo	2015	Regadío	794	299	3	4	0	3	17	0	0	0	0	0	262	8	0	0	2	110	0	110	0	385	385	0	0
12	Tarazona y el Moncayo	2015	Secano	764	541	0	0	0	0	0	0	0	0	0	0	537	0	0	0	4	115	0	115	0	108	108	0	0
13	Campo de Borja	2015	Regadío	4279	908	1	3	0	0	0	3	0	0	0	0	885	13	0	0	3	2330	0	2330	0	1038	1038	0	3
13	Campo de Borja	2015	Secano	8332	3974	0	0	0	0	0	0	0	0	0	0	3970	0	0	0	4	4007	0	4007	0	351	351	0	0
14	Aranda	2015	Regadío	222	159	8	3	0	2	85	6	13	0	0	0	39	3	0	0	0	3	0	3	0	58	58	0	2
14	Aranda	2015	Secano	2618	2119	2	0	0	3	237	0	3	0	0	0	1874	0	0	0	0	229	0	229	0	270	270	0	0
15	Ribera Alta del Ebro	2015	Regadío	668	439	130	117	0	26	10	43	7	0	0	0	40	20	0	45	1	5	0	5	0	224	224	0	0
15	Ribera Alta del Ebro	2015	Secano	58	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	0	8	0	42	42	0	2
16	Valdejalón	2015	Regadío	8789	7599	1565	717	0	459	1581	1860	143	2	0	0	479	4	0	773	16	536	5	531	0	647	647	0	7
16	Valdejalón	2015	Secano	5562	2816	6	1	0	35	240	65	2	0	0	0	2439	1	0	24	3	1239	0	1239	0	1506	1506	0	1
17	Central	2015	Regadío	1667	1092	1	90	0	162	9	41	38	2	0	0	653	10	0	83	3	47	9	38	0	526	526	0	2
17	Central	2015	Secano	458	212	0	0	0	1	0	0	0	0	0	0	207	0	0	0	4	114	0	114	0	132	132	0	0
18	Ribera Baja del Ebro	2015	Regadío	2049	917	10	101	0	78	62	213	55	1	0	0	254	4	0	135	4	15	15	0	0	1117	1117	0	0
18	Ribera Baja del Ebro	2015	Secano	127	38	4	1	0	0	0	0	0	0	0	0	30	0	0	3	0	5	0	5	0	84	84	0	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	Regadío	6854	5452	16	89	0	353	665	1498	180	8	0	0	1707	2	0	923	11	135	31	104	0	1247	1247	0	20
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	Secano	8782	5087	0	1	0	8	50	88	4	0	0	0	4872	0	0	56	8	468	1	467	0	3223	3223	0	4
20	Comunidad de Calatayud	2015	Regadío	3989	3178	556	823	0	56	910	372	304	0	0	0	150	3	0	3	1	538	4	534	0	212	212	0	61
20	Comunidad de Calatayud	2015	Secano	14370	9791	48	30	0	18	2170	87	116	0	0	0	7307	4	0	1	10	4069	4	4065	0	506	506	0	4
21	Campo de Cariñena	2015	Regadío	5364	1125	172	152	0	41	235	306	30	0	0	0	97	1	0	88	3	4017	7	4010	0	203	203	0	19
21	Campo de Cariñena	2015	Secano	10816	1286	6	0	0	3	45	10	0	0	0	0	1220	0	0	0	2	9204	10	9194	0	324	324	0	2
22	Campo de Belchite	2015	Regadío	1982	555	10	46	0	0	0	0	5	0	0	0	489	5	0	0	0	207	0	207	0	1220	1220	0	0
22	Campo de Belchite	2015	Secano	1857	1430	0	0	0	0	1	0	0	0	0	0	1427	1	0	0	1	351	0	351	0	76	76	0	0
23	Bajo Martín	2015	Regadío	855	274	1	3	0	10	7	113	3	2	0	2	133	0	0	0	0	19	0	19	0	562	562	0	0
23	Bajo Martín	2015	Secano	3278	1536	0	0	0	6	12	1	0	0	0	0	1517	0	0	0	0	175	0	175	0	1567	1567	0	0
24	Campo de Daroca	2015	Regadío	65	60	0	1	0	0	8	0	1	0	0	0	39	11	0	0	0	5	0	5	0	0	0	0	0
24	Campo de Daroca	2015	Secano	2819	1928	0	1	0	1	164	0	5	0	0	0	1749	1	0	0	7	877	0	877	0	14	14	0	0
25	Jiloca	2015	Regadío	24	22	2	0	0	0	5	0	2	0	0	2	3	8	0	0	0	1	0	1	0	0	0	0	1
25	Jiloca	2015	Secano	1078	650	0	0	0	0	30	0	0	0	0	1	608	11	0	0	0	428	0	428	0	0	0	0	0
26	Cuencas Mineras	2015	Regadío	11	6	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	4	0	4	0	1	1	0	0
26	Cuencas Mineras	2015	Secano	872	583	0	0	0	0	0	0	0	0	0	4	575	4	0	0	0	231	1	230	0	58	58	0	0
27	Andorra-Sierra de Arcos	2015	Regadío	86	15	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	71	71	0	0
27	Andorra-Sierra de Arcos	2015	Secano	2651	562	0	0	0	0	15	0	0	0	0	0	546	1	0	0	0	185	0	185	0	1904	1904	0	0
28	Bajo Aragón	2015	Regadío	3599	2425	17	13	0	160	8	1566	41	1	0	12	577	21	0	9	0	6	0	6	0	1168	1168	0	0
