Comarca código	Comarca nombre	Año	Sistema de cultivo	Total (A+B+C+D)	(A) FRUTALES. Total	Manzano	Peral	Membrillero	Albaricoquero	Cerezo y Guindo	Melocotonero	Ciruelo	Higuera	Palmera datilera	Azufaifo	Almendro	Nogal	Avellano	Nectarina	Otros frutales	(B) VIÑEDO. Total	Viñedo de uva de mesa	Viñedo de uva de vino	(C) OLIVAR. Total	Olivar de aceituna de mesa y para aceite	(D) VIVEROS. Total
26	Cuencas Mineras	2017	Secano	958	665	0	0	0	0	0	0	0	0		10	650	4	0	0	1	226	1	225	67	67	0
27	Andorra-Sierra de Arcos	2017	Regadío	83	21	0	0	0	0	8	0	0	0		3	7	3	0	0	0	0	0	0	62	62	0
27	Andorra-Sierra de Arcos	2017	Secano	2557	622	0	0	0	0	24	0	0	0		2	593	2	0	0	1	173	0	173	1762	1762	0
28	Bajo Aragón	2017	Regadío	3507	2359	7	15	0	177	6	1470	43	1		2	598	26	0	9	5	6	0	6	1142	1142	0
28	Bajo Aragón	2017	Secano	17031	7928	0	0	0	4	0	38	4	0		19	7851	5	0	0	7	225	1	224	8878	8878	0
29	Comunidad de Teruel	2017	Regadío	96	95	85	0	0	0	0	0	1	0		0	6	2	0	0	1	1	0	1	0	0	0
29	Comunidad de Teruel	2017	Secano	543	528	1	0	0	0	0	0	0	0		2	504	9	0	0	12	15	0	15	0	0	0
30	Maestrazgo	2017	Regadío	109	21	0	0	0	0	0	8	0	0		0	10	3	0	0	0	0	0	0	88	88	0
30	Maestrazgo	2017	Secano	778	337	0	0	0	0	0	7	0	0		0	329	1	0	0	0	53	0	53	388	388	0
31	Sierra de Albarracín	2017	Regadío	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
31	Sierra de Albarracín	2017	Secano	2	1	0	0	0	0	0	0	0	0		0	1	0	0	0	0	1	0	1	0	0	0
32	Gúdar-Javalambre	2017	Regadío	22	21	0	0	0	0	9	0	0	0		5	5	0	0	0	2	1	0	1	0	0	0
32	Gúdar-Javalambre	2017	Secano	394	391	0	0	0	0	32	0	0	0		3	337	4	0	0	15	3	0	3	0	0	0
33	Matarraña / Matarranya	2017	Regadío	527	256	0	0	0	10	22	133	1	0		1	77	2	7	0	3	6	0	6	265	265	0
33	Matarraña / Matarranya	2017	Secano	18810	8572	1	0	0	0	25	12	1	0		0	8454	13	27	0	39	686	0	686	9552	9552	0
01	La Jacetania	2016	Regadío	3	3	0	0	0	0	0	0	0	0		0	1	2	0	0	0	0	0	0	0	0	0
01	La Jacetania	2016	Secano	77	65	0	0	0	0	0	0	0	0		0	65	0	0	0	0	12	0	12	0	0	0
02	Alto Gállego	2016	Regadío	26	26	20	0	0	0	6	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2016	Secano	4	2	0	0	0	0	0	0	0	0		0	2	0	0	0	0	2	0	2	0	0	0
03	Sobrarbe	2016	Regadío	2	1	1	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	1	0	0	0
03	Sobrarbe	2016	Secano	335	146	1	0	0	0	0	0	0	0		0	141	4	0	0	0	29	0	29	160	160	0
04	La Ribagorza	2016	Regadío	7	1	0	0	0	0	0	0	0	0		0	0	0	0	0	1	3	0	3	3	3	0
04	La Ribagorza	2016	Secano	985	436	1	0	0	0	1	0	0	0		0	417	9	4	0	4	171	0	171	378	378	0
05	Cinco Villas	2016	Regadío	1400	977	29	12	0	1	3	1	0	0		0	915	15	0	0	1	61	0	61	360	360	2
05	Cinco Villas	2016	Secano	1343	1013	0	0	0	0	0	0	0	0		0	1003	0	0	0	10	171	0	171	154	154	5
06	Hoya de Huesca / Plana de Uesca	2016	Regadío	935	592	60	13	0	0	45	10	0	0		0	440	6	0	9	9	46	0	46	294	294	3
06	Hoya de Huesca / Plana de Uesca	2016	Secano	5952	4594	1	0	0	0	22	0	0	0		0	4547	2	0	0	22	427	1	426	928	928	3
07	Somontano de Barbastro	2016	Regadío	1572	235	2	42	0	3	41	4	12	0		0	102	9	0	19	1	1141	0	1141	196	196	0
07	Somontano de Barbastro	2016	Secano	7474	2559	0	0	0	4	0	0	0	0		0	2547	2	0	0	6	2578	4	2574	2334	2334	3
08	Cinca Medio	2016	Regadío	2708	2365	119	289	1	40	125	914	11	18		0	299	7	0	508	34	59	1	58	283	283	1
08	Cinca Medio	2016	Secano	354	117	1	0	0	0	0	0	0	0		0	115	0	0	0	1	16	0	16	221	221	0
09	La Litera / La Llitera	2016	Regadío	1697	1442	228	236	1	18	7	420	34	10		0	219	74	0	182	13	91	0	91	164	164	0
09	La Litera / La Llitera	2016	Secano	1564	602	0	0	0	0	0	0	0	0		0	601	1	0	0	0	15	0	15	947	947	0
10	Los Monegros	2016	Regadío	973	759	113	40	1	29	0	160	1	0		0	313	2	0	83	17	13	0	13	197	197	4
10	Los Monegros	2016	Secano	1268	677	0	0	0	0	0	0	0	0		0	673	0	0	0	4	182	0	182	409	409	0
11	Bajo Cinca / Baix Cinca	2016	Regadío	14775	13555	158	597	16	701	776	5378	64	7		35	1171	125	0	4380	147	355	34	321	861	861	4
11	Bajo Cinca / Baix Cinca	2016	Secano	2767	2209	2	0	0	71	121	77	17	0		14	1825	0	0	64	18	32	19	13	526	526	0
12	Tarazona y el Moncayo	2016	Regadío	772	292	3	4	0	3	16	0	0	0		0	257	8	0	0	1	101	0	101	379	379	0
12	Tarazona y el Moncayo	2016	Secano	753	543	0	0	0	1	0	0	0	0		0	538	0	0	0	4	104	0	104	106	106	0
13	Campo de Borja	2016	Regadío	4316	984	1	3	0	0	0	3	0	0		0	961	13	0	0	3	2297	0	2297	1031	1031	4
13	Campo de Borja	2016	Secano	8407	4142	0	0	0	0	0	0	0	0		0	4135	0	0	0	7	3907	0	3907	358	358	0
14	Aranda	2016	Regadío	213	156	6	2	0	2	85	6	9	0		0	42	4	0	0	0	1	0	1	56	56	0
14	Aranda	2016	Secano	2588	2153	1	0	0	2	233	0	3	0		0	1914	0	0	0	0	168	0	168	267	267	0
15	Ribera Alta del Ebro	2016	Regadío	616	399	104	110	0	28	10	41	6	0		0	46	19	0	35	0	3	0	3	214	214	0
15	Ribera Alta del Ebro	2016	Secano	78	20	0	0	0	0	0	0	0	0		0	13	0	0	0	7	7	0	7	49	49	2
16	Valdejalón	2016	Regadío	8766	7635	1526	689	0	458	1650	1882	156	5		11	501	3	0	737	17	515	5	510	609	609	7
16	Valdejalón	2016	Secano	5502	3001	44	1	0	48	285	73	2	0		1	2510	1	0	31	5	1114	0	1114	1385	1385	2
17	Central	2016	Regadío	1618	1060	2	87	0	162	10	35	31	3		0	710	10	0	7	3	41	8	33	515	515	2
17	Central	2016	Secano	433	223	0	1	0	0	0	0	0	0		0	218	0	0	0	4	75	0	75	135	135	0
18	Ribera Baja del Ebro	2016	Regadío	2046	913	11	93	0	73	77	204	49	9		1	254	4	0	125	13	20	20	0	1113	1113	0
18	Ribera Baja del Ebro	2016	Secano	156	66	3	1	0	1	0	1	0	0		0	55	0	0	5	0	3	0	3	87	87	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Regadío	6652	5274	16	84	0	334	639	1385	173	9		39	1712	1	0	868	14	130	46	84	1233	1233	15
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2016	Secano	8904	5292	0	2	0	44	101	148	12	0		0	4858	6	0	116	5	426	1	425	3179	3179	7
20	Comunidad de Calatayud	2016	Regadío	3925	3129	571	819	0	53	824	385	304	0		0	163	5	0	2	3	521	4	517	214	214	61
20	Comunidad de Calatayud	2016	Secano	14498	10216	65	29	0	17	2236	100	121	0		0	7631	4	0	0	13	3778	3	3775	500	500	4
21	Campo de Cariñena	2016	Regadío	5258	1067	176	118	0	51	219	299	24	0		0	104	1	0	73	2	3992	13	3979	184	184	15
21	Campo de Cariñena	2016	Secano	10700	1360	7	0	0	4	67	14	0	0		0	1265	0	0	0	3	9010	21	8989	328	328	2
22	Campo de Belchite	2016	Regadío	2068	641	9	42	0	1	0	0	5	0		0	578	6	0	0	0	207	0	207	1220	1220	0
22	Campo de Belchite	2016	Secano	1862	1520	0	0	0	0	1	0	0	0		0	1517	1	0	0	1	261	0	261	81	81	0
23	Bajo Martín	2016	Regadío	839	266	0	3	0	10	7	103	3	2		0	138	0	0	0	0	19	0	19	554	554	0
23	Bajo Martín	2016	Secano	3287	1547	0	0	0	6	10	3	0	0		0	1528	0	0	0	0	175	0	175	1565	1565	0
24	Campo de Daroca	2016	Regadío	62	57	0	0	0	0	5	0	1	0		0	40	11	0	0	0	5	0	5	0	0	0
24	Campo de Daroca	2016	Secano	2801	1969	0	1	0	1	166	0	4	0		0	1788	1	0	0	8	823	0	823	9	9	0
25	Jiloca	2016	Regadío	17	15	2	0	0	0	5	0	1	0		0	0	7	0	0	0	1	0	1	0	0	1
25	Jiloca	2016	Secano	1103	683	0	0	0	0	29	0	0	0		0	621	33	0	0	0	420	0	420	0	0	0
26	Cuencas Mineras	2016	Regadío	12	6	0	0	0	0	0	0	0	0		0	1	5	0	0	0	4	0	4	2	2	0
26	Cuencas Mineras	2016	Secano	926	633	0	0	0	0	0	0	0	0		0	629	4	0	0	0	229	1	228	64	64	0
27	Andorra-Sierra de Arcos	2016	Regadío	85	19	0	0	0	0	13	0	0	0		0	3	3	0	0	0	0	0	0	66	66	0
27	Andorra-Sierra de Arcos	2016	Secano	2655	561	0	0	0	0	14	0	0	0		0	545	2	0	0	0	183	0	183	1911	1911	0
28	Bajo Aragón	2016	Regadío	3602	2393	8	18	0	165	9	1487	43	1		0	629	24	0	9	0	6	0	6	1203	1203	0
28	Bajo Aragón	2016	Secano	16965	7839	0	0	0	6	0	32	4	0		0	7794	3	0	0	0	228	0	228	8898	8898	0
29	Comunidad de Teruel	2016	Regadío	51	50	36	0	0	0	2	0	1	0		0	5	6	0	0	0	1	0	1	0	0	0
29	Comunidad de Teruel	2016	Secano	514	499	12	0	0	0	0	0	0	0		0	481	6	0	0	0	15	0	15	0	0	0
30	Maestrazgo	2016	Regadío	114	23	0	0	0	0	0	8	0	0		0	12	3	0	0	0	0	0	0	91	91	0
30	Maestrazgo	2016	Secano	770	335	0	0	0	0	0	7	0	0		0	327	1	0	0	0	53	0	53	382	382	0
31	Sierra de Albarracín	2016	Regadío	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
31	Sierra de Albarracín	2016	Secano	3	3	0	0	0	0	0	0	0	0		0	3	0	0	0	0	0	0	0	0	0	0
32	Gúdar-Javalambre	2016	Regadío	17	16	0	0	0	0	6	0	0	0		0	10	0	0	0	0	1	0	1	0	0	0
32	Gúdar-Javalambre	2016	Secano	350	347	0	0	0	0	35	0	0	0		0	310	2	0	0	0	3	0	3	0	0	0
33	Matarraña / Matarranya	2016	Regadío	495	228	1	0	0	1	14	131	2	0		0	64	2	13	0	0	6	0	6	261	261	0
33	Matarraña / Matarranya	2016	Secano	18610	8586	0	0	0	0	23	16	1	0		0	8516	11	19	0	0	696	0	696	9328	9328	0
01	La Jacetania	2015	Regadío	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
01	La Jacetania	2015	Secano	75	63	0	0	0	0	1	0	0	0	0	0	62	0	0	0	0	12	0	12	0	0	0
02	Alto Gállego	2015	Regadío	27	27	21	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2015	Secano	4	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0
03	Sobrarbe	2015	Regadío	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
03	Sobrarbe	2015	Secano	338	147	1	0	0	0	0	0	0	0	0	0	143	3	0	0	0	29	0	29	162	162	0
04	La Ribagorza	2015	Regadío	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	3	3	3	0
04	La Ribagorza	2015	Secano	998	441	0	0	0	0	1	0	0	0	0	0	425	7	4	0	4	169	0	169	388	388	0
05	Cinco Villas	2015	Regadío	1278	862	26	14	0	1	3	4	0	0	0	0	796	16	0	0	2	66	0	66	348	348	2
05	Cinco Villas	2015	Secano	1307	945	0	0	0	0	0	0	0	0	0	0	942	0	0	0	3	205	0	205	152	152	5
06	Hoya de Huesca / Plana de Uesca	2015	Regadío	1092	546	62	14	0	0	46	10	0	0	0	0	396	2	0	9	7	46	0	46	498	498	2
06	Hoya de Huesca / Plana de Uesca	2015	Secano	5676	4538	0	0	0	0	22	0	0	0	0	0	4487	2	0	0	27	431	1	430	704	704	3
07	Somontano de Barbastro	2015	Regadío	1514	185	2	37	0	1	22	2	7	0	0	0	92	9	0	12	1	1140	0	1140	189	189	0
07	Somontano de Barbastro	2015	Secano	7576	2510	0	0	0	0	0	3	2	0	0	0	2498	2	0	0	5	2692	4	2688	2371	2371	3
08	Cinca Medio	2015	Regadío	2706	2298	115	294	0	29	101	889	11	20	0	0	255	7	0	555	22	59	1	58	349	349	0
08	Cinca Medio	2015	Secano	355	116	0	0	0	0	0	5	0	0	0	0	106	0	0	4	1	16	0	16	223	223	0
09	La Litera / La Llitera	2015	Regadío	1729	1474	236	265	1	14	7	433	31	5	0	0	200	74	0	195	13	91	0	91	164	164	0
09	La Litera / La Llitera	2015	Secano	1582	609	0	0	0	0	0	1	0	0	0	0	606	1	0	1	0	15	0	15	958	958	0
10	Los Monegros	2015	Regadío	906	696	113	43	1	23	0	157	1	0	0	0	273	2	0	64	19	13	0	13	197	197	0
10	Los Monegros	2015	Secano	1279	665	0	0	0	0	0	3	0	0	0	0	658	0	0	0	4	188	0	188	426	426	0
11	Bajo Cinca / Baix Cinca	2015	Regadío	14089	12826	168	569	17	537	713	5222	41	6	0	0	1055	101	1	4325	71	359	28	331	900	900	4
11	Bajo Cinca / Baix Cinca	2015	Secano	2802	2256	0	2	0	46	53	139	32	0	0	0	1859	0	0	112	13	18	4	14	528	528	0
12	Tarazona y el Moncayo	2015	Regadío	794	299	3	4	0	3	17	0	0	0	0	0	262	8	0	0	2	110	0	110	385	385	0
12	Tarazona y el Moncayo	2015	Secano	764	541	0	0	0	0	0	0	0	0	0	0	537	0	0	0	4	115	0	115	108	108	0
13	Campo de Borja	2015	Regadío	4279	908	1	3	0	0	0	3	0	0	0	0	885	13	0	0	3	2330	0	2330	1038	1038	3
13	Campo de Borja	2015	Secano	8332	3974	0	0	0	0	0	0	0	0	0	0	3970	0	0	0	4	4007	0	4007	351	351	0
14	Aranda	2015	Regadío	222	159	8	3	0	2	85	6	13	0	0	0	39	3	0	0	0	3	0	3	58	58	2
14	Aranda	2015	Secano	2618	2119	2	0	0	3	237	0	3	0	0	0	1874	0	0	0	0	229	0	229	270	270	0
15	Ribera Alta del Ebro	2015	Regadío	668	439	130	117	0	26	10	43	7	0	0	0	40	20	0	45	1	5	0	5	224	224	0
15	Ribera Alta del Ebro	2015	Secano	58	6	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	8	0	8	42	42	2
16	Valdejalón	2015	Regadío	8789	7599	1565	717	0	459	1581	1860	143	2	0	0	479	4	0	773	16	536	5	531	647	647	7
16	Valdejalón	2015	Secano	5562	2816	6	1	0	35	240	65	2	0	0	0	2439	1	0	24	3	1239	0	1239	1506	1506	1
17	Central	2015	Regadío	1667	1092	1	90	0	162	9	41	38	2	0	0	653	10	0	83	3	47	9	38	526	526	2
17	Central	2015	Secano	458	212	0	0	0	1	0	0	0	0	0	0	207	0	0	0	4	114	0	114	132	132	0
18	Ribera Baja del Ebro	2015	Regadío	2049	917	10	101	0	78	62	213	55	1	0	0	254	4	0	135	4	15	15	0	1117	1117	0
18	Ribera Baja del Ebro	2015	Secano	127	38	4	1	0	0	0	0	0	0	0	0	30	0	0	3	0	5	0	5	84	84	0
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	Regadío	6854	5452	16	89	0	353	665	1498	180	8	0	0	1707	2	0	923	11	135	31	104	1247	1247	20
19	Bajo Aragón-Caspe / Baix Aragó-Casp	2015	Secano	8782	5087	0	1	0	8	50	88	4	0	0	0	4872	0	0	56	8	468	1	467	3223	3223	4
20	Comunidad de Calatayud	2015	Regadío	3989	3178	556	823	0	56	910	372	304	0	0	0	150	3	0	3	1	538	4	534	212	212	61
20	Comunidad de Calatayud	2015	Secano	14370	9791	48	30	0	18	2170	87	116	0	0	0	7307	4	0	1	10	4069	4	4065	506	506	4
21	Campo de Cariñena	2015	Regadío	5364	1125	172	152	0	41	235	306	30	0	0	0	97	1	0	88	3	4017	7	4010	203	203	19
21	Campo de Cariñena	2015	Secano	10816	1286	6	0	0	3	45	10	0	0	0	0	1220	0	0	0	2	9204	10	9194	324	324	2
22	Campo de Belchite	2015	Regadío	1982	555	10	46	0	0	0	0	5	0	0	0	489	5	0	0	0	207	0	207	1220	1220	0
22	Campo de Belchite	2015	Secano	1857	1430	0	0	0	0	1	0	0	0	0	0	1427	1	0	0	1	351	0	351	76	76	0
23	Bajo Martín	2015	Regadío	855	274	1	3	0	10	7	113	3	2	0	2	133	0	0	0	0	19	0	19	562	562	0
23	Bajo Martín	2015	Secano	3278	1536	0	0	0	6	12	1	0	0	0	0	1517	0	0	0	0	175	0	175	1567	1567	0
24	Campo de Daroca	2015	Regadío	65	60	0	1	0	0	8	0	1	0	0	0	39	11	0	0	0	5	0	5	0	0	0
24	Campo de Daroca	2015	Secano	2819	1928	0	1	0	1	164	0	5	0	0	0	1749	1	0	0	7	877	0	877	14	14	0
25	Jiloca	2015	Regadío	24	22	2	0	0	0	5	0	2	0	0	2	3	8	0	0	0	1	0	1	0	0	1
25	Jiloca	2015	Secano	1078	650	0	0	0	0	30	0	0	0	0	1	608	11	0	0	0	428	0	428	0	0	0
26	Cuencas Mineras	2015	Regadío	11	6	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	4	0	4	1	1	0
26	Cuencas Mineras	2015	Secano	872	583	0	0	0	0	0	0	0	0	0	4	575	4	0	0	0	231	1	230	58	58	0
27	Andorra-Sierra de Arcos	2015	Regadío	86	15	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	71	71	0
27	Andorra-Sierra de Arcos	2015	Secano	2651	562	0	0	0	0	15	0	0	0	0	0	546	1	0	0	0	185	0	185	1904	1904	0
28	Bajo Aragón	2015	Regadío	3599	2425	17	13	0	160	8	1566	41	1	0	12	577	21	0	9	0	6	0	6	1168	1168	0
28	Bajo Aragón	2015	Secano	16887	7751	0	0	0	3	0	20	4	0	0	33	7689	2	0	0	0	227	0	227	8909	8909	0
29	Comunidad de Teruel	2015	Regadío	38	37	24	0	0	0	2	0	1	0	0	0	2	8	0	0	0	1	0	1	0	0	0
29	Comunidad de Teruel	2015	Secano	486	471	1	0	0	0	0	0	0	0	0	1	454	15	0	0	0	15	0	15	0	0	0
30	Maestrazgo	2015	Regadío	114	22	0	0	0	0	0	8	0	0	0	0	11	3	0	0	0	0	0	0	92	92	0
30	Maestrazgo	2015	Secano	786	341	0	0	0	0	0	11	0	0	0	0	329	1	0	0	0	53	0	53	392	392	0
31	Sierra de Albarracín	2015	Regadío	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
31	Sierra de Albarracín	2015	Secano	2	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
32	Gúdar-Javalambre	2015	Regadío	14	13	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	1	0	1	0	0	0
32	Gúdar-Javalambre	2015	Secano	341	338	0	0	0	0	40	0	0	0	0	8	286	4	0	0	0	3	0	3	0	0	0
33	Matarraña / Matarranya	2015	Regadío	506	245	1	0	0	1	18	140	2	0	0	2	66	1	14	0	0	6	0	6	255	255	0
33	Matarraña / Matarranya	2015	Secano	18720	8740	0	0	0	0	25	22	1	0	0	68	8595	12	17	0	0	710	0	710	9270	9270	0
01	La Jacetania	2014	Regadío	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
01	La Jacetania	2014	Secano	81	69	0	0	0	0	0	0	0	0		0	69	0	0	0	0	12	0	12	0	0	0
02	Alto Gállego	2014	Regadío	26	26	20	0	0	0	6	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
02	Alto Gállego	2014	Secano	2	1	1	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	1	0	0	0
03	Sobrarbe	2014	Regadío	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	1	0	1	0	0	0
03	Sobrarbe	2014	Secano	346	149	1	0	0	0	0	0	0	0		0	145	3	0	0	0	31	1	30	166	166	0
