Año	Municipio código	Municipio nombre	Rústico, año última renovación	Rústico, parcelas	Rústico, subparcelas	Rústico, superficie	Rústico, valor catastral
2001	22150	Loporzano	1992	6129	8196	17034	3976,17
2001	22151	Loscorrales		1365	1870	3913	2605,05
2001	22155	Monesma y Cajigar	1994	1263	2421	6388	671,86
2001	22156	Monflorite-Lascasas		1340	2096	2752	3351,48
2001	22157	Montanuy		3994	11629	16170	1303,32
2001	22158	Monzón		8146	11276	15527	27995,43
2001	22160	Naval	1995	1115	1575	4790	394,48
2001	22162	Novales	2001	1266	1775	1968	1423,08
2001	22163	Nueno	1992	3094	4256	14696	1891,21
2001	22164	Olvena	1992	682	866	1586	239,7
2001	22165	Ontiñena		5792	8028	13300	4669,5
2001	22167	Osso de Cinca		1558	2026	2630	7218,35
2001	22168	Palo	1999	730	958	1331	177,38
2001	22170	Panticosa		1448	3302	9081	146,58
2001	22172	Peñalba		8492	9040	14686	4554,39
2001	22173	Peñas de Riglos (Las)		5506	12613	21391	1733,72
2001	22174	Peralta de Alcofea		4892	7707	11666	6440,82
2001	22175	Peralta de Calasanz	1992	3799	5199	11562	1969,56
2001	22176	Peraltilla	1994	1136	1878	1614	660,14
2001	22177	Perarrúa		1340	2480	2851	513,93
2001	22178	Pertusa	1994	1310	1810	2924	2465,96
2001	22181	Piracés		1250	1955	2467	1558,65
2001	22182	Plan		1721	3195	9140	392,15
2001	22184	Poleñino	1993	1196	2125	3262	4617,87
2001	22186	Pozán de Vero	1994	1238	1772	1481	548,01
2001	22187	Puebla de Castro (La)	1992	1404	1819	2543	504,83
2001	22188	Puente de Montañana		1066	3818	4116	524,24
2001	22189	Puértolas		2167	7127	9703	417,47
2001	22190	Pueyo de Araguás (El)	1999	1632	2215	6292	673,37
2001	22193	Pueyo de Santa Cruz		809	1104	879	1604,43
2001	22195	Quicena		438	694	949	696,4
2001	22197	Robres	1992	3823	5388	6294	5050,47
2001	22199	Sabiñánigo		14851	21042	58311	4478,81
2001	22200	Sahún		1633	3877	7315	539,13
2001	22201	Salas Altas	1994	1304	1820	2142	664,23
2001	22202	Salas Bajas	1994	928	1200	1239	447,44
2001	22203	Salillas	1994	1201	1704	2880	1848,13
2001	22204	Sallent de Gállego		2212	5164	14183	750,5
2001	22205	San Esteban de Litera		3789	6694	7212	7213,49
2001	22206	Sangarrén	1995	2047	2590	3227	4203,83
2001	22207	San Juan de Plan		883	3496	4992	189,9
2001	22208	Santa Cilia	2001	820	1289	2838	931,83
2001	22209	Santa Cruz de la Serós	2001	609	957	2705	337,8
2001	22212	Santaliestra y San Quílez		734	2035	2201	194,77
2001	22213	Sariñena	1993	8519	13594	27426	29700,82
2001	22214	Secastilla	1997	1301	1835	4757	314,36
2001	22215	Seira		1004	3001	6867	197,82
2001	22217	Sena	1997	3102	4442	10516	11695,65
2001	22218	Senés de Alcubierre	1993	725	1001	1924	959,28
2001	22220	Sesa	1993	2016	2723	3076	1665,48
2001	22221	Sesué		621	1146	484	182,81
2001	22222	Siétamo		3120	4160	4910	2261,7
2001	22223	Sopeira		1615	2735	4196	359,05
2001	22225	Tamarite de Litera		4729	6857	11163	19383,89
2001	22226	Tardienta	1997	5228	6472	9296	4508,48
2001	22227	Tella-Sin		1391	3708	8678	371,19
2001	22228	Tierz		570	673	637	804,79
2001	22229	Tolva	2001	1969	4320	5920	943,69
2001	22230	Torla-Ordesa		2058	6625	18341	640,97
2001	22232	Torralba de Aragón		1635	2213	4013	1975,29
2001	22233	Torre la Ribera		1143	3089	3149	257,53
2001	22234	Torrente de Cinca	1993	1587	2041	5687	7433,56
2001	22235	Torres de Alcanadre	1994	1065	1320	1732	2090,5
2001	22236	Torres de Barbués		863	1048	1369	1910,57
2001	22239	Tramaced	1993	663	927	1565	2084,98
2001	22242	Valfarta		320	843	3255	2062,39
2001	22243	Valle de Bardají		541	1944	4463	120,66
2001	22244	Valle de Lierp		819	3181	3188	227,27
2001	22245	Velilla de Cinca		1495	1790	1553	4074,92
2001	22246	Beranuy		2284	5603	5906	342,16
2001	22247	Viacamp y Litera	2001	2057	4264	10824	626,64
2001	22248	Vicién		376	1120	1311	1033,51
2001	22249	Villanova		670	902	702	180,94
2001	22250	Villanúa		1326	2443	5547	539,17
2001	22251	Villanueva de Sigena	1997	2365	4117	14566	10571,13
2001	22252	Yebra de Basa		2721	5071	8843	571,66
2001	22253	Yésero		844	2037	2750	143,02
2001	22254	Zaidín		4362	6265	9076	18895,32
2001	22901	Valle de Hecho		3248	9014	22158	1005,19
2001	22902	Puente la Reina de Jaca	1995	2108	2959	4798	1561,23
2001	22903	San Miguel del Cinca		4373	5279	10220	17034,19
2001	22904	Sotonera (La)	1995	5232	6654	16556	9991,84
2001	22905	Lupiñén-Ortilla	1995	1438	2311	11033	8650,04
2001	22906	Santa María de Dulcis	1994	1324	2417	2687	705,59
2001	22907	Aínsa-Sobrarbe	2001	7651	15626	28527	4089,82
2001	22908	Hoz y Costeán	1992	2351	3689	5785	1258,4
2001	22909	Vencillón		111	287	949	1805,31
2001	44001	Ababuj	2001	2604	5695	5414	906,16
2001	44002	Abejuela		3857	4877	8504	310,6
2001	44003	Aguatón	2001	887	3263	2203	214,14
2001	44004	Aguaviva	1995	5255	5778	4159	1454,7
2001	44005	Aguilar del Alfambra	2001	2500	5818	3986	1359,5
2001	44006	Alacón		8513	13406	4581	1351,33
2001	44007	Alba	1992	3785	4559	7001	2395,46
2001	44008	Albalate del Arzobispo		14097	18554	19876	5683,36
2001	44009	Albarracín		14145	33319	45789	3350,38
2001	44010	Albentosa		5038	6134	6451	933,54
2001	44011	Alcaine		4679	8179	5750	550,9
2001	44012	Alcalá de la Selva	2001	3165	5104	10137	861,5
2001	44013	Alcañiz		27169	33032	46688	17964,37
2001	44014	Alcorisa		9568	13692	11472	3167,5
2001	44016	Alfambra	1995	5376	6731	12235	2601,62
2001	44017	Aliaga	2001	4715	21831	18617	1434,66
2001	44018	Almohaja	1998	1479	1808	2556	146,39
2001	44019	Alobras		4138	5036	3025	124,18
2001	44020	Alpeñés	2001	1374	2313	2825	463,92
2001	44021	Allepuz	2001	2835	12928	6398	1275,91
2001	44022	Alloza		8509	11526	8007	1020,93
2001	44023	Allueva		1251	1519	1773	226,12
2001	44024	Anadón		1999	5444	2241	215,1
2001	44025	Andorra		12756	17449	13315	3752,64
2001	44026	Arcos de las Salinas		7021	7551	11014	510,75
2001	44027	Arens de Lledó	1993	1855	3958	3408	592,38
2001	44028	Argente	2001	4089	5286	6249	1745,38
2001	44029	Ariño		4430	5488	8089	773,47
2001	44031	Azaila		3985	5847	7865	1702,04
2001	44032	Bádenas		1253	1648	3095	457,48
2001	44033	Báguena	1992	4131	4986	2511	1349,21
2001	44034	Bañón	2001	5668	6566	5417	1143,05
2001	44035	Barrachina		2056	3913	2405	580,57
2001	44036	Bea		764	1005	2231	221,39
2001	44037	Beceite	1993	2452	4986	9657	455,48
2001	44038	Belmonte de San José	1994	2767	3668	3389	205,89
2001	44039	Bello	1999	5645	6650	5280	1786,01
2001	44040	Berge		3035	3836	4187	632,65
2001	44041	Bezas		1519	2907	2557	78,83
2001	44042	Blancas	1998	4597	5639	7345	1104,53
2001	44043	Blesa		9751	12058	8045	1447,76
2001	44044	Bordón		1469	2203	2898	277,4
2001	44045	Bronchales		4731	6456	5414	513,99
2001	44046	Bueña	2001	2277	5468	4042	520,52
2001	44047	Burbáguena	1992	3593	4797	3919	1126,55
2001	44048	Cabra de Mora	1999	1577	1899	3440	587,71
2001	44049	Calaceite	1993	4690	9677	8126	1775,98
2001	44050	Calamocha	1992	32874	37465	31472	8894,16
2001	44051	Calanda		8354	13137	10698	3907,41
2001	44052	Calomarde		3017	4736	2568	191,91
2001	44053	Camañas	2001	2978	3775	7862	756,09
2001	44054	Camarena de la Sierra		7126	7489	7935	384,23
2001	44055	Camarillas	2001	2775	9537	4876	911,68
2001	44056	Caminreal	1992	10219	10875	4394	1898,83
2001	44059	Cantavieja		3011	15800	12179	1293,29
2001	44060	Cañada de Benatanduz		1391	6729	3431	476,37
2001	44061	Cañada de Verich (La)	1994	698	836	1114	97,73
2001	44062	Cañada Vellida	2001	1800	3901	2320	429,27
2001	44063	Cañizar del Olivar		2186	3722	2191	245,17
2001	44064	Cascante del Río		5641	6016	3170	802,82
2001	44065	Castejón de Tornos	1992	2657	2921	3064	682,25
2001	44066	Castel de Cabra		2899	5826	2895	549
2001	44067	Castelnou		2102	2519	3640	1698,58
2001	44068	Castelserás	1994	4539	4925	3137	1254,47
2001	44070	Castellar (El)	1999	1922	2759	5079	259,52
2001	44071	Castellote		9183	15223	23185	2583,67
2001	44074	Cedrillas	1999	2858	4028	7330	1149,25
2001	44075	Celadas	1999	4690	7180	10050	2103,3
2001	44076	Cella	1992	10883	12233	12405	6577,54
2001	44077	Cerollera (La)	1993	1654	3037	3417	154,64
2001	44080	Codoñera (La)	1994	3535	3735	1957	266,23
2001	44082	Corbalán	1999	3543	4286	8257	632,9
2001	44084	Cortes de Aragón		2939	5271	2400	450,83
2001	44085	Cosa	2001	3619	5090	5540	1174,92
2001	44086	Cretas	1993	3382	8034	5286	1406,04
2001	44087	Crivillén		4986	12124	4097	603,44
2001	44088	Cuba (La)		470	938	594	81,01
2001	44089	Cubla		4452	4667	4677	634,34
2001	44090	Cucalón		2540	2937	2931	781,08
2001	44092	Cuervo (El)		2847	3148	1871	241,16
2001	44093	Cuevas de Almudén	1999	685	975	3697	512,7
2001	44094	Cuevas Labradas	1995	1919	2567	4092	416,78
2001	44096	Ejulve		5199	15529	10772	781,01
2001	44097	Escorihuela	2001	3120	3904	5728	504,19
2001	44099	Escucha		3585	7684	4942	394,13
2001	44100	Estercuel		4947	11735	5543	468,33
2001	44101	Ferreruela de Huerva		812	1533	1990	903,15
2001	44102	Fonfría		1331	1652	1964	216,28
2001	44103	Formiche Alto	1999	3999	4931	7836	661,57
2001	44105	Fórnoles	1993	2639	5571	3247	281,84
2001	44106	Fortanete		1977	14198	16628	1636,72
2001	44107	Foz-Calanda		2731	3526	3680	746,44
2001	44108	Fresneda (La)	1993	4789	7792	3973	685,82
2001	44109	Frías de Albarracín		4533	4954	5042	362,45
2001	44110	Fuenferrada		2528	6468	2428	731,74
2001	44111	Fuentes Calientes	2001	1634	3152	2450	546,51
2001	44112	Fuentes Claras	1992	6325	6754	3666	1659,11
2001	44113	Fuentes de Rubielos		4909	7932	3752	279,67
2001	44114	Fuentespalda	1993	2011	3729	3928	520,51
2001	44115	Galve	2001	2435	5406	6263	745,37
2001	44116	Gargallo		2835	6125	2943	500,27
2001	44117	Gea de Albarracín		3106	5981	5492	1170,5
2001	44118	Ginebrosa (La)	1994	6195	6842	7934	1572,15
2001	44119	Griegos		2647	3627	3246	297,53
2001	44120	Guadalaviar		3107	4856	2756	128,25
2001	44121	Gúdar	2001	1462	2257	6053	944,03
2001	44122	Híjar		9041	11404	16460	7612,97
2001	44123	Hinojosa de Jarque	1999	1563	2321	3663	723,36
2001	44124	Hoz de la Vieja (La)		6420	6584	3978	671,54
2001	44125	Huesa del Común		7356	12930	6039	1513,57
2001	44126	Iglesuela del Cid (La)		2907	9075	3768	397,03
2001	44127	Jabaloyas		4884	8774	5848	140
2001	44128	Jarque de la Val	1999	856	1323	2929	587,37
2001	44129	Jatiel		1098	1298	1047	385,58
2001	44130	Jorcas	2001	1998	6818	2707	787,49
2001	44131	Josa		3209	3986	2804	486,5
2001	44132	Lagueruela		2192	2317	2552	577,95
2001	44133	Lanzuela		989	1045	1397	351,18
2001	44135	Libros		5643	6264	3638	618,94
2001	44136	Lidón	2001	1999	3774	4048	418
2001	44137	Linares de Mora		3914	8306	11367	1230,71
2001	44138	Loscos		9585	17248	8115	1744,55
2001	44141	Lledó	1993	1083	2284	1583	461,26
2001	44142	Maicas		1922	1993	2328	183,95
2001	44143	Manzanera		13205	17101	16036	1081,96
2001	44144	Martín del Río		4233	6239	5363	1274,77
2001	44145	Mas de las Matas	1995	4017	5171	2982	1567,89
2001	44146	Mata de los Olmos (La)		1856	2480	2357	305,12
2001	44147	Mazaleón	1994	6522	7386	8231	2070,2
2001	44148	Mezquita de Jarque	1999	659	967	3082	731,75
2001	44149	Mirambel		816	4544	4224	913,03
2001	44150	Miravete de la Sierra	2001	793	3922	3631	435,2
2001	44151	Molinos		3497	4735	7578	1001,6
2001	44152	Monforte de Moyuela		3496	3964	4728	1101,29
2001	44153	Monreal del Campo	2001	7554	7825	9073	3189,71
2001	44154	Monroyo	1993	2604	5634	7811	1031,92
2001	44155	Montalbán		4482	8982	8195	996,23
2001	44156	Monteagudo del Castillo	1999	2022	2738	4450	724,65
2001	44157	Monterde de Albarracín		4192	6894	5143	265,36
2001	44158	Mora de Rubielos		8263	11994	15888	1441,84
2001	44159	Moscardón		4800	8653	2630	239,38
2001	44160	Mosqueruela		4773	9765	25862	1276,18
2001	44161	Muniesa		11607	19650	12747	2763,68
2001	44163	Noguera de Albarracín		4362	6430	4607	370,97
2001	44164	Nogueras		1237	1761	1784	249,93
2001	44165	Nogueruelas		3622	5589	9859	954,85
2001	44167	Obón		6056	12437	6786	1300,4
2001	44168	Odón	1999	5047	6687	7407	1374,99
2001	44169	Ojos Negros	2001	5179	11156	8811	1377,98
2001	44171	Olba		9985	11495	1966	344,31
2001	44172	Oliete		10864	13875	8357	1711,58
2001	44173	Olmos (Los)		3985	5811	4321	796,68
2001	44174	Orihuela del Tremedal		2889	5705	7140	333,48
2001	44175	Orrios		2181	2852	4386	646,78
2001	44176	Palomar de Arroyos		3244	6910	3176	539,9
2001	44177	Pancrudo	2001	4704	8999	10038	1748,33
2001	44178	Parras de Castellote (Las)		1874	3066	4143	373,12
2001	44179	Peñarroya de Tastavins	1993	2365	4413	8384	557,06
2001	44180	Peracense	2001	3043	5298	2807	313,98
2001	44181	Peralejos	1995	1352	1659	3654	389,24
2001	44182	Perales del Alfambra		2984	3889	10305	1876,82
2001	44183	Pitarque		1982	8738	5175	409,56
2001	44184	Plou		2827	4008	1698	307,19
2001	44185	Pobo (El)		4201	4604	5960	889,59
2001	44187	Portellada (La)	1993	2246	3901	2146	354,1
2001	44189	Pozondón		4830	6115	6753	561,81
2001	44190	Pozuel del Campo	1998	2969	3568	2717	710,76
2001	44191	Puebla de Híjar (La)		4594	5484	5873	2961,99
2001	44192	Puebla de Valverde (La)		13643	18462	28765	3321,9
2001	44193	Puertomingalvo		3194	7102	10110	492,76
2001	44194	Ráfales	1993	2193	4147	3580	323,1
2001	44195	Rillo	2001	3061	7083	5271	744,19
2001	44196	Riodeva		7065	8631	3317	329,31
2001	44197	Ródenas	2001	3432	4617	4327	551,99
2001	44198	Royuela		5752	8639	3102	404,46
2001	44199	Rubiales		1672	1721	2609	126,42
2001	44200	Rubielos de la Cérida	2001	2967	4296	6681	647,45
2001	44201	Rubielos de Mora		4024	5450	6176	926,87
2001	44203	Salcedillo		1281	1653	1675	196,55
2001	44204	Saldón		4209	5687	2680	252,61
2001	44205	Samper de Calanda		11004	14001	14069	4758,4
2001	44206	San Agustín		7740	9846	5568	1065,29
2001	44207	San Martín del Río	1992	2632	3204	1663	727,48
2001	44208	Santa Cruz de Nogueras		972	1354	1471	232,78
2001	44209	Santa Eulalia	1992	4557	5212	8049	3453,67
2001	44210	Sarrión		10987	13111	13751	846,88
2001	44211	Segura de los Baños		3648	3890	5344	703,22
2001	44212	Seno		1023	1460	1767	214,52
2001	44213	Singra	1992	2083	2678	3696	1747,09
2001	44215	Terriente		10436	14741	4471	488,77
2001	44216	Teruel		32646	41194	42250	10669,46
2001	44217	Toril y Masegoso		4567	7098	3062	163,25
2001	44218	Tormón		1969	4094	2785	77,67
2001	44219	Tornos	2001	2671	3109	5144	1017,04
2001	44220	Torralba de los Sisones	1992	3123	3548	4519	1178,35
2001	44221	Torrecilla de Alcañiz	1994	4345	4809	2715	511,43
2001	44222	Torrecilla del Rebollar		4641	8110	6193	1387,21
2001	44223	Torre de Arcas	1993	975	1911	3577	223,7
2001	44224	Torre de las Arcas		2559	4904	3719	369,23
2001	44225	Torre del Compte	1993	1350	2833	1939	624,7
2001	44226	Torrelacárcel	1992	2769	3252	3583	1333,91
2001	44227	Torre los Negros	2001	2138	3071	2908	669,88
2001	44228	Torremocha de Jiloca	1992	1487	1852	3342	847,97
2001	44229	Torres de Albarracín		2726	4719	2789	286,69
2001	44230	Torrevelilla	1994	2790	3703	3350	276,94
2001	44231	Torrijas		3938	4416	5617	406,12
2001	44232	Torrijo del Campo	2001	6847	7433	4420	1672,8
2001	44234	Tramacastiel		5455	6598	4700	438,43
2001	44235	Tramacastilla		3125	4658	2459	297,69
2001	44236	Tronchón		1808	8826	4858	882,37
2001	44237	Urrea de Gaén		3842	4975	4057	1624,83
2001	44238	Utrillas		3243	6786	3841	424,26
2001	44239	Valacloche		1812	1994	1485	136,64
2001	44240	Valbona		3976	4453	3865	596,81
2001	44241	Valdealgorfa	1994	4959	5201	4778	839,06
2001	44243	Valdecuenca		886	991	1850	172,92
2001	44244	Valdelinares		2103	3826	5439	733,03
2001	44245	Valdeltormo	1994	1646	2385	1594	314,71
2001	44246	Valderrobres	1993	4798	11483	12408	2752,65
2001	44247	Valjunquera	1994	3980	4807	4257	826,44
2001	44249	Vallecillo (El)		2631	2950	2086	123,15
2001	44250	Veguillas de la Sierra		1971	2744	1327	93,69
2001	44251	Villafranca del Campo	1992	3114	3304	6768	3247,12
2001	44252	Villahermosa del Campo		1334	1436	1814	603,83
2001	44256	Villanueva del Rebollar de la Sierra		1601	2672	1866	446,47
2001	44257	Villar del Cobo		3422	4776	5369	441,2
2001	44258	Villar del Salz	2001	2447	3007	3885	323,42
2001	44260	Villarluengo		2731	20402	15479	1701,55
2001	44261	Villarquemado	1992	3000	3970	5582	4235,53
2001	44262	Villarroya de los Pinares		1177	4903	6503	683,35
2001	44263	Villastar		7058	7579	3817	1082,97
2001	44264	Villel		8126	9400	8250	1354,21
2001	44265	Vinaceite		2480	4698	4914	2123,89
2001	44266	Visiedo	2001	4044	6271	5601	893,69
2001	44267	Vivel del Río Martín		7257	10895	4951	881,26
2001	44268	Zoma (La)		1170	1596	1316	137,5
2001	50001	Abanto	1999	3261	4233	6395	891,77
2001	50002	Acered	1999	2265	3131	3051	709,79
2001	50003	Agón	1994	2065	2187	1871	1401,85
2001	50004	Aguarón	2001	3353	4028	3678	1630,58
2001	50005	Aguilón	1998	3115	3850	5973	1268,83
2001	50006	Ainzón	1994	4813	5766	4059	1823,35
2001	50007	Aladrén	2001	2046	2407	2096	179,26
2001	50008	Alagón	1992	2595	2794	2410	7668,12
2001	50009	Alarba		1995	3329	1831	504,02
2001	50010	Alberite de San Juan	1994	1935	2085	1111	543,36
2001	50011	Albeta	1994	830	979	270	184,55
2001	50012	Alborge	2001	571	655	524	567,73
2001	50013	Alcalá de Ebro	1992	1520	1555	976	2696,91
2001	50014	Alcalá de Moncayo	1993	3306	3812	1364	618,68
2001	50015	Alconchel de Ariza	1994	1621	2557	3539	789,31
2001	50016	Aldehuela de Liestos		3876	4339	3660	572,37
2001	50017	Alfajarín	1992	2146	3909	13781	5839,26
2001	50018	Alfamén	1994	4327	5584	10199	12652,92
2001	50019	Alforque	2001	872	1081	1133	630,92
2001	50020	Alhama de Aragón	1993	2652	3306	3102	947,08
2001	50021	Almochuel		2399	2545	3090	817,84
2001	50022	Almolda (La)		4542	6837	13068	3227,57
2001	50023	Almonacid de la Cuba	2001	7049	7802	6540	1892,09
2001	50024	Almonacid de la Sierra	1994	4735	6093	5427	7716,67
2001	50025	Almunia de Doña Godina (La)	1994	5133	6559	5657	16894,58
2001	50026	Alpartir	1994	3370	3698	3284	827,26
2001	50027	Ambel	1994	6390	7297	6114	1176,05
2001	50028	Anento		2594	3059	2128	760,58
2001	50029	Aniñón		4501	6929	5162	1346,74
2001	50030	Añón de Moncayo	1993	5596	6602	6458	788,85
2001	50031	Aranda de Moncayo	1993	4621	5738	9082	1376,58
2001	50032	Arándiga	2001	4693	5792	4932	1620,96
2001	50033	Ardisa		829	2464	2621	564,52
2001	50034	Ariza	1993	9349	13046	10334	2562,95
2001	50035	Artieda	1999	613	774	1319	470,93
2001	50036	Asín		840	2177	1825	638,6
2001	50037	Atea		2895	3740	3195	897,15
2001	50038	Ateca	1993	5067	7244	8474	2943,6
2001	50039	Azuara		10047	11975	16040	5232,59
2001	50040	Badules		1325	1775	1921	630,28
2001	50041	Bagüés		998	1605	3002	215,79
2001	50042	Balconchán		1029	1229	1927	278,18
2001	50043	Bárboles	1994	1674	1847	1558	4150,25
2001	50044	Bardallur	1993	2558	2761	2715	2132,43
2001	50045	Belchite		10787	15149	27320	8768,6
2001	50046	Belmonte de Gracián		3516	4915	4104	1122,55
2001	50047	Berdejo	1993	1743	2019	2027	197,42
2001	50048	Berrueco		1364	1876	1884	252,97
2001	50050	Bijuesca	1993	5106	6159	5689	990,56
2001	50051	Biota		8157	9978	11778	8680,5
2001	50052	Bisimbre	1994	1363	1470	1086	892,89
2001	50053	Boquiñeni	1992	4138	4321	1888	3284,96
2001	50054	Bordalba	1993	5076	5667	4180	750,41
2001	50055	Borja	1994	11869	14486	10690	6945,88
2001	50056	Botorrita	1995	1410	1886	2002	1415,93
2001	50057	Brea de Aragón		1530	2337	1272	309,37
2001	50058	Bubierca	1993	1417	1682	2912	798,78
2001	50059	Bujaraloz		4709	6095	11789	3833,82
2001	50060	Bulbuente	1994	4569	5209	2531	1058,28
2001	50061	Bureta	1994	3309	3528	1196	655,14
