Año	Municipio código	Municipio nombre	Contenedores de papel y cartón	Kg recogidos papel y cartón
2007	22228	Tierz	2	
2007	22229	Tolva	0	
2007	22230	Torla-Ordesa	3	
2007	22232	Torralba de Aragón	4	
2007	22233	Torre la Ribera	0	
2007	22234	Torrente de Cinca	3	
2007	22235	Torres de Alcanadre	0	
2007	22236	Torres de Barbués	9	
2007	22239	Tramaced	1	
2007	22242	Valfarta	2	
2007	22243	Valle de Bardají	0	
2007	22244	Valle de Lierp	0	
2007	22245	Velilla de Cinca	1	
2007	22246	Beranuy	0	
2007	22247	Viacamp y Litera	0	
2007	22248	Vicién	1	
2007	22249	Villanova	0	
2007	22250	Villanúa	11	
2007	22251	Villanueva de Sigena	9	
2007	22252	Yebra de Basa	1	
2007	22253	Yésero	1	
2007	22254	Zaidín	6	
2007	22901	Valle de Hecho	15	
2007	22902	Puente la Reina de Jaca	6	
2007	22903	San Miguel del Cinca	2	
2007	22904	Sotonera (La)	10	
2007	22905	Lupiñén-Ortilla	4	
2007	22906	Santa María de Dulcis	0	
2007	22907	Aínsa-Sobrarbe	17	
2007	22908	Hoz y Costeán	0	
2007	22909	Vencillón	1	
2007	44001	Ababuj	1	
2007	44002	Abejuela	0	
2007	44003	Aguatón	1	
2007	44004	Aguaviva	1	
2007	44005	Aguilar del Alfambra	1	
2007	44006	Alacón	1	
2007	44007	Alba	1	
2007	44008	Albalate del Arzobispo	24	
2007	44009	Albarracín	2	
2007	44010	Albentosa	0	
2007	44011	Alcaine	0	
2007	44012	Alcalá de la Selva	0	
2007	44013	Alcañiz	25	
2007	44014	Alcorisa	6	
2007	44016	Alfambra	4	
2007	44017	Aliaga	2	
2007	44018	Almohaja	1	
2007	44019	Alobras	1	
2007	44020	Alpeñés	1	
2007	44021	Allepuz	0	
2007	44022	Alloza	3	
2007	44023	Allueva	0	
2007	44024	Anadón	0	
2007	44025	Andorra	18	
2007	44026	Arcos de las Salinas	0	
2007	44027	Arens de Lledó	3	
2007	44028	Argente	1	
2007	44029	Ariño	2	
2007	44031	Azaila	6	
2007	44032	Bádenas	0	
2007	44033	Báguena	1	
2007	44034	Bañón	0	
2007	44035	Barrachina	0	
2007	44036	Bea	0	
2007	44037	Beceite	7	
2007	44038	Belmonte de San José	0	
2007	44039	Bello	0	
2007	44040	Berge	0	
2007	44041	Bezas	0	
2007	44042	Blancas	0	
2007	44043	Blesa	0	
2007	44044	Bordón	0	
2007	44045	Bronchales	0	
2007	44046	Bueña	0	
2007	44047	Burbáguena	0	
2007	44048	Cabra de Mora	0	
2007	44049	Calaceite	12	
2007	44050	Calamocha	9	
2007	44051	Calanda	7	
2007	44052	Calomarde	0	
2007	44053	Camañas	1	
2007	44054	Camarena de la Sierra	0	
2007	44055	Camarillas	1	
2007	44056	Caminreal	2	
2007	44059	Cantavieja	0	
2007	44060	Cañada de Benatanduz	0	
2007	44061	Cañada de Verich (La)	0	
2007	44062	Cañada Vellida	1	
2007	44063	Cañizar del Olivar	0	
2007	44064	Cascante del Río	1	
2007	44065	Castejón de Tornos	0	
2007	44066	Castel de Cabra	1	
2007	44067	Castelnou	3	
2007	44068	Castelserás	2	
2007	44070	Castellar (El)	0	
2007	44071	Castellote	0	
2007	44074	Cedrillas	3	
2007	44075	Celadas	2	
2007	44076	Cella	13	
2007	44077	Cerollera (La)	0	
2007	44080	Codoñera (La)	0	
2007	44082	Corbalán	1	
2007	44084	Cortes de Aragón	1	
2007	44085	Cosa	0	
2007	44086	Cretas	7	
2007	44087	Crivillén	1	
2007	44088	Cuba (La)	0	
2007	44089	Cubla	1	
2007	44090	Cucalón	0	
2007	44092	Cuervo (El)	1	
2007	44093	Cuevas de Almudén	0	
2007	44094	Cuevas Labradas	1	
2007	44096	Ejulve	1	
2007	44097	Escorihuela	1	
2007	44099	Escucha	0	
2007	44100	Estercuel	1	
2007	44101	Ferreruela de Huerva	0	
2007	44102	Fonfría	0	
2007	44103	Formiche Alto	0	
2007	44105	Fórnoles	2	
2007	44106	Fortanete	0	
2007	44107	Foz-Calanda	0	
2007	44108	Fresneda (La)	6	
2007	44109	Frías de Albarracín	0	
2007	44110	Fuenferrada	0	
2007	44111	Fuentes Calientes	1	
2007	44112	Fuentes Claras	0	
2007	44113	Fuentes de Rubielos	0	
2007	44114	Fuentespalda	4	
2007	44115	Galve	1	
2007	44116	Gargallo	1	
2007	44117	Gea de Albarracín	1	
2007	44118	Ginebrosa (La)	0	
2007	44119	Griegos	0	
2007	44120	Guadalaviar	0	
2007	44121	Gúdar	0	
2007	44122	Híjar	11	
2007	44123	Hinojosa de Jarque	0	
2007	44124	Hoz de la Vieja (La)	1	
2007	44125	Huesa del Común	1	
2007	44126	Iglesuela del Cid (La)	0	
2007	44127	Jabaloyas	0	
2007	44128	Jarque de la Val	0	
2007	44129	Jatiel	3	
2007	44130	Jorcas	1	
2007	44131	Josa	0	
2007	44132	Lagueruela	0	
2007	44133	Lanzuela	0	
2007	44135	Libros	1	
2007	44136	Lidón	1	
2007	44137	Linares de Mora	0	
2007	44138	Loscos	1	
2007	44141	Lledó	2	
2007	44142	Maicas	0	
2007	44143	Manzanera	0	
2007	44144	Martín del Río	2	
2007	44145	Mas de las Matas	3	
2007	44146	Mata de los Olmos (La)	0	
2007	44147	Mazaleón	6	
2007	44148	Mezquita de Jarque	0	
2007	44149	Mirambel	0	
2007	44150	Miravete de la Sierra	0	
2007	44151	Molinos	0	
2007	44152	Monforte de Moyuela	0	
2007	44153	Monreal del Campo	5	
2007	44154	Monroyo	6	
2007	44155	Montalbán	4	
2007	44156	Monteagudo del Castillo	1	
2007	44157	Monterde de Albarracín	0	
2007	44158	Mora de Rubielos	0	
2007	44159	Moscardón	0	
2007	44160	Mosqueruela	0	
2007	44161	Muniesa	2	
2007	44163	Noguera de Albarracín	0	
2007	44164	Nogueras	0	
2007	44165	Nogueruelas	0	
2007	44167	Obón	0	
2007	44168	Odón	0	
2007	44169	Ojos Negros	0	
2007	44171	Olba	0	
2007	44172	Oliete	1	
2007	44173	Olmos (Los)	0	
2007	44174	Orihuela del Tremedal	0	
2007	44175	Orrios	1	
2007	44176	Palomar de Arroyos	1	
2007	44177	Pancrudo	4	
2007	44178	Parras de Castellote (Las)	0	
2007	44179	Peñarroya de Tastavins	7	
2007	44180	Peracense	0	
2007	44181	Peralejos	1	
2007	44182	Perales del Alfambra	2	
2007	44183	Pitarque	0	
2007	44184	Plou	0	
2007	44185	Pobo (El)	1	
2007	44187	Portellada (La)	2	
2007	44189	Pozondón	0	
2007	44190	Pozuel del Campo	0	
2007	44191	Puebla de Híjar (La)	13	
2007	44192	Puebla de Valverde (La)	1	
2007	44193	Puertomingalvo	0	
2007	44194	Ráfales	3	
2007	44195	Rillo	2	
2007	44196	Riodeva	1	
2007	44197	Ródenas	0	
2007	44198	Royuela	0	
2007	44199	Rubiales	0	
2007	44200	Rubielos de la Cérida	0	
2007	44201	Rubielos de Mora	0	
2007	44203	Salcedillo	0	
2007	44204	Saldón	0	
2007	44205	Samper de Calanda	11	
2007	44206	San Agustín	0	
2007	44207	San Martín del Río	0	
2007	44208	Santa Cruz de Nogueras	0	
2007	44209	Santa Eulalia	6	
2007	44210	Sarrión	0	
2007	44211	Segura de los Baños	0	
2007	44212	Seno	0	
2007	44213	Singra	0	
2007	44215	Terriente	0	
2007	44216	Teruel	99	
2007	44217	Toril y Masegoso	0	
2007	44218	Tormón	1	
2007	44219	Tornos	0	
2007	44220	Torralba de los Sisones	0	
2007	44221	Torrecilla de Alcañiz	1	
2007	44222	Torrecilla del Rebollar	0	
2007	44223	Torre de Arcas	2	
2007	44224	Torre de las Arcas	0	
2007	44225	Torre del Compte	2	
2007	44226	Torrelacárcel	1	
2007	44227	Torre los Negros	0	
2007	44228	Torremocha de Jiloca	1	
2007	44229	Torres de Albarracín	0	
2007	44230	Torrevelilla	0	
2007	44231	Torrijas	0	
2007	44232	Torrijo del Campo	0	
2007	44234	Tramacastiel	2	
2007	44235	Tramacastilla	0	
2007	44236	Tronchón	0	
2007	44237	Urrea de Gaén	7	
2007	44238	Utrillas	0	
2007	44239	Valacloche	1	
2007	44240	Valbona	0	
2007	44241	Valdealgorfa	2	
2007	44243	Valdecuenca	0	
2007	44244	Valdelinares	0	
2007	44245	Valdeltormo	4	
2007	44246	Valderrobres	20	
2007	44247	Valjunquera	4	
2007	44249	Vallecillo (El)	0	
2007	44250	Veguillas de la Sierra	1	
2007	44251	Villafranca del Campo	0	
2007	44252	Villahermosa del Campo	0	
2007	44256	Villanueva del Rebollar de la Sierra	0	
2007	44257	Villar del Cobo	0	
2007	44258	Villar del Salz	0	
2007	44260	Villarluengo	0	
2007	44261	Villarquemado	5	
2007	44262	Villarroya de los Pinares	1	
2007	44263	Villastar	2	
2007	44264	Villel	2	
2007	44265	Vinaceite	4	
2007	44266	Visiedo	1	
2007	44267	Vivel del Río Martín	0	
2007	44268	Zoma (La)	0	
2007	50001	Abanto	2	
2007	50002	Acered	1	
2007	50003	Agón	3	
2007	50004	Aguarón	2	
2007	50005	Aguilón	2	
2007	50006	Ainzón	15	
2007	50007	Aladrén	1	
2007	50008	Alagón	70	
2007	50009	Alarba	1	
2007	50010	Alberite de San Juan	4	
2007	50011	Albeta	6	
2007	50012	Alborge	0	
2007	50013	Alcalá de Ebro	4	
2007	50014	Alcalá de Moncayo	2	
2007	50015	Alconchel de Ariza	1	
2007	50016	Aldehuela de Liestos	1	
2007	50017	Alfajarín	8	
2007	50018	Alfamén	5	
2007	50019	Alforque	0	
2007	50020	Alhama de Aragón	6	
2007	50021	Almochuel	0	
2007	50022	Almolda (La)	8	
2007	50023	Almonacid de la Cuba	2	
2007	50024	Almonacid de la Sierra	3	
2007	50025	Almunia de Doña Godina (La)	11	
2007	50026	Alpartir	2	
2007	50027	Ambel	5	
2007	50028	Anento	1	
2007	50029	Aniñón	3	
2007	50030	Añón de Moncayo	4	
2007	50031	Aranda de Moncayo	0	
2007	50032	Arándiga	2	
2007	50033	Ardisa	0	
2007	50034	Ariza	8	
2007	50035	Artieda	1	
2007	50036	Asín	0	
2007	50037	Atea	1	
2007	50038	Ateca	7	
2007	50039	Azuara	3	
2007	50040	Badules	1	
2007	50041	Bagüés	0	
2007	50042	Balconchán	1	
2007	50043	Bárboles	3	
2007	50044	Bardallur	1	
2007	50045	Belchite	5	
2007	50046	Belmonte de Gracián	1	
2007	50047	Berdejo	1	
2007	50048	Berrueco	1	
2007	50050	Bijuesca	1	
2007	50051	Biota	2	
2007	50052	Bisimbre	3	
2007	50053	Boquiñeni	9	
2007	50054	Bordalba	1	
2007	50055	Borja	75	
2007	50056	Botorrita	3	
2007	50057	Brea de Aragón	4	
2007	50058	Bubierca	1	
2007	50059	Bujaraloz	16	
2007	50060	Bulbuente	6	
2007	50061	Bureta	6	
2007	50062	Burgo de Ebro (El)	12	
2007	50063	Buste (El)	1	
2007	50064	Cabañas de Ebro	5	
2007	50065	Cabolafuente	1	
2007	50066	Cadrete	13	
2007	50067	Calatayud	50	
2007	50068	Calatorao	10	
2007	50069	Calcena	0	
2007	50070	Calmarza	1	
2007	50071	Campillo de Aragón	1	
2007	50072	Carenas	2	
2007	50073	Cariñena	14	
2007	50074	Caspe	21	
2007	50075	Castejón de Alarba	1	
2007	50076	Castejón de las Armas	1	
2007	50077	Castejón de Valdejasa	1	
2007	50078	Castiliscar	1	
2007	50079	Cervera de la Cañada	2	
2007	50080	Cerveruela	1	
2007	50081	Cetina	2	
2007	50082	Cimballa	1	
2007	50083	Cinco Olivas	0	
2007	50084	Clarés de Ribota	1	
2007	50085	Codo	1	
2007	50086	Codos	2	
2007	50087	Contamina	1	
2007	50088	Cosuenda	3	
2007	50089	Cuarte de Huerva	9	
2007	50090	Cubel	1	
2007	50091	Cuerlas (Las)	1	
2007	50092	Chiprana	2	
2007	50093	Chodes	1	
2007	50094	Daroca	6	
2007	50095	Ejea de los Caballeros	51	
2007	50096	Embid de Ariza	1	
2007	50098	Encinacorba	2	
2007	50099	Épila	12	
2007	50100	Erla	1	
2007	50101	Escatrón	5	
2007	50102	Fabara	5	
2007	50104	Farlete	5	
2007	50105	Fayón	0	
2007	50106	Fayos (Los)	3	
2007	50107	Figueruelas	11	
2007	50108	Fombuena	1	
2007	50109	Frago (El)	0	
2007	50110	Frasno (El)	2	
2007	50111	Fréscano	5	
2007	50113	Fuendejalón	15	
2007	50114	Fuendetodos	1	
2007	50115	Fuentes de Ebro	22	
2007	50116	Fuentes de Jiloca	2	
2007	50117	Gallocanta	1	
2007	50118	Gallur	31	
2007	50119	Gelsa	6	
2007	50120	Godojos	1	
2007	50121	Gotor	0	
2007	50122	Grisel	1	
2007	50123	Grisén	4	
2007	50124	Herrera de los Navarros	2	
2007	50125	Ibdes	2	
2007	50126	Illueca	9	
2007	50128	Isuerre	0	
2007	50129	Jaraba	2	
2007	50130	Jarque	1	
2007	50131	Jaulín	2	
2007	50132	Joyosa (La)	7	
2007	50133	Lagata	1	
2007	50134	Langa del Castillo	1	
2007	50135	Layana	0	
2007	50136	Lécera	4	
2007	50137	Leciñena	10	
2007	50138	Lechón	1	
2007	50139	Letux	2	
2007	50140	Litago	4	
2007	50141	Lituénigo	3	
2007	50142	Lobera de Onsella	0	
2007	50143	Longares	5	
2007	50144	Longás	0	
2007	50146	Lucena de Jalón	1	
2007	50147	Luceni	11	
2007	50148	Luesia	1	
2007	50149	Luesma	1	
2007	50150	Lumpiaque	3	
2007	50151	Luna	2	
2007	50152	Maella	8	
2007	50153	Magallón	18	
2007	50154	Mainar	1	
2007	50155	Malanquilla	1	
2007	50156	Maleján	5	
2007	50157	Malón	8	
2007	50159	Maluenda	3	
2007	50160	Mallén	48	
2007	50161	Manchones	1	
2007	50162	Mara	2	
2007	50163	María de Huerva	5	
2007	50164	Mediana de Aragón	2	
2007	50165	Mequinenza	5	
2007	50166	Mesones de Isuela	0	
2007	50167	Mezalocha	2	
2007	50168	Mianos	1	
2007	50169	Miedes de Aragón	2	
2007	50170	Monegrillo	6	
2007	50171	Moneva	2	
2007	50172	Monreal de Ariza	2	
2007	50173	Monterde	2	
2007	50174	Montón	1	
2007	50175	Morata de Jalón	4	
2007	50176	Morata de Jiloca	2	
2007	50177	Morés	3	
2007	50178	Moros	2	
2007	50179	Moyuela	2	
2007	50180	Mozota	2	
2007	50181	Muel	9	
2007	50182	Muela (La)	6	
2007	50183	Munébrega	3	
2007	50184	Murero	1	
2007	50185	Murillo de Gállego	3	
2007	50186	Navardún	0	
2007	50187	Nigüella	1	
2007	50188	Nombrevilla	1	
2007	50189	Nonaspe	4	
2007	50190	Novallas	14	
2007	50191	Novillas	10	
2007	50192	Nuévalos	3	
2007	50193	Nuez de Ebro	5	
2007	50194	Olvés	1	
2007	50195	Orcajo	1	
2007	50196	Orera	1	
2007	50197	Orés	0	
2007	50198	Oseja	0	
2007	50199	Osera de Ebro	3	
2007	50200	Paniza	2	
2007	50201	Paracuellos de Jiloca	2	
2007	50202	Paracuellos de la Ribera	1	
2007	50203	Pastriz	9	
2007	50204	Pedrola	29	
2007	50205	Pedrosas (Las)	0	
2007	50206	Perdiguera	9	
2007	50207	Piedratajada	0	
2007	50208	Pina de Ebro	8	
2007	50209	Pinseque	21	
2007	50210	Pintanos (Los)	0	
2007	50211	Plasencia de Jalón	1	
2007	50212	Pleitas	1	
2007	50213	Plenas	1	
2007	50214	Pomer	0	
2007	50215	Pozuel de Ariza	1	
2007	50216	Pozuelo de Aragón	4	
2007	50217	Pradilla de Ebro	6	
2007	50218	Puebla de Albortón	1	
2007	50219	Puebla de Alfindén (La)	9	
2007	50220	Puendeluna	0	
2007	50221	Purujosa	0	
2007	50222	Quinto	7	
2007	50223	Remolinos	12	
2007	50224	Retascón	1	
2007	50225	Ricla	6	
2007	50227	Romanos	1	
2007	50228	Rueda de Jalón	1	
2007	50229	Ruesca	1	
2007	50230	Sádaba	3	
2007	50231	Salillas de Jalón	1	
2007	50232	Salvatierra de Esca	5	
2007	50233	Samper del Salz	1	
2007	50234	San Martín de la Virgen de Moncayo	3	
2007	50235	San Mateo de Gállego	4	
2007	50236	Santa Cruz de Grío	1	
2007	50237	Santa Cruz de Moncayo	3	
2007	50238	Santa Eulalia de Gállego	1	
2007	50239	Santed	1	
2007	50240	Sástago	5	
2007	50241	Saviñán	6	
2007	50242	Sediles	1	
2007	50243	Sestrica	1	
2007	50244	Sierra de Luna	0	
2007	50245	Sigüés	3	
2007	50246	Sisamón	1	
2007	50247	Sobradiel	7	
2007	50248	Sos del Rey Católico	2	
2007	50249	Tabuenca	5	
2007	50250	Talamantes	2	
2007	50251	Tarazona	38	
2007	50252	Tauste	22	
2007	50253	Terrer	2	
2007	50254	Tierga	0	
2007	50255	Tobed	2	
2007	50256	Torralba de los Frailes	1	
2007	50257	Torralba de Ribota	2	
2007	50258	Torralbilla	1	
2007	50259	Torrehermosa	1	
2007	50260	Torrelapaja	2	
2007	50261	Torrellas	8	
2007	50262	Torres de Berrellén	13	
2007	50263	Torrijo de la Cañada	2	
2007	50264	Tosos	2	
2007	50265	Trasmoz	1	
2007	50266	Trasobares	0	
2007	50267	Uncastillo	2	
2007	50268	Undués de Lerda	0	
2007	50269	Urrea de Jalón	1	
2007	50270	Urriés	0	
2007	50271	Used	2	
2007	50272	Utebo	39	
2007	50273	Valdehorna	1	
2007	50274	Val de San Martín	1	
2007	50275	Valmadrid	2	
2007	50276	Valpalmas	0	
2007	50277	Valtorres	1	
2007	50278	Velilla de Ebro	0	
2007	50279	Velilla de Jiloca	1	
2007	50280	Vera de Moncayo	12	
2007	50281	Vierlas	2	
2007	50282	Vilueña (La)	1	
2007	50283	Villadoz	1	
2007	50284	Villafeliche	2	
2007	50285	Villafranca de Ebro	2	
2007	50286	Villalba de Perejil	1	
2007	50287	Villalengua	2	
2007	50288	Villanueva de Gállego	8	
2007	50289	Villanueva de Jiloca	1	
2007	50290	Villanueva de Huerva	5	
2007	50291	Villar de los Navarros	1	
2007	50292	Villarreal de Huerva	1	
2007	50293	Villarroya de la Sierra	3	
2007	50294	Villarroya del Campo	1	
2007	50295	Vistabella	0	
2007	50296	Zaida (La)	4	
2007	50297	Zaragoza	1408	
2007	50298	Zuera	22	
2007	50901	Biel	0	
2007	50902	Marracos	0	
2007	50903	Villamayor de Gállego	0	
2009	22001	Abiego	0	
2009	22002	Abizanda	2	
2009	22003	Adahuesca	0	
2009	22004	Agüero	2	
2009	22006	Aísa	18	
2009	22007	Albalate de Cinca	2	
2009	22008	Albalatillo	5	
2009	22009	Albelda	3	
2009	22011	Albero Alto	1	
2009	22012	Albero Bajo	2	
2009	22013	Alberuela de Tubo	9	
2009	22014	Alcalá de Gurrea	4	
2009	22015	Alcalá del Obispo	3	
2009	22016	Alcampell	3	
2009	22017	Alcolea de Cinca	2	
2009	22018	Alcubierre	5	
2009	22019	Alerre	2	
2009	22020	Alfántega	1	
2009	22021	Almudévar	10	
2009	22022	Almunia de San Juan	2	
2009	22023	Almuniente	1	
2009	22024	Alquézar	6	
2009	22025	Altorricón	0	
2009	22027	Angüés	3	
2009	22028	Ansó	10	
2009	22029	Antillón	1	
2009	22032	Aragüés del Puerto	2	
2009	22035	Arén	0	
2009	22036	Argavieso	1	
2009	22037	Arguis	2	
2009	22039	Ayerbe	7	
2009	22040	Azanuy-Alins	2	
2009	22041	Azara	0	
2009	22042	Azlor	0	
2009	22043	Baells	2	
2009	22044	Bailo	7	
2009	22045	Baldellou	1	
2009	22046	Ballobar	7	
2009	22047	Banastás	2	
2009	22048	Barbastro	35	
2009	22049	Barbués	2	
2009	22050	Barbuñales	0	
2009	22051	Bárcabo	0	
2009	22052	Belver de Cinca	0	
2009	22053	Benabarre	5	
2009	22054	Benasque	4	
2009	22055	Berbegal	2	
2009	22057	Bielsa	4	
2009	22058	Bierge	0	
2009	22059	Biescas	43	
2009	22060	Binaced	3	
2009	22061	Binéfar	40	
2009	22062	Bisaurri	0	
2009	22063	Biscarrués	1	
2009	22064	Blecua y Torres	2	
2009	22066	Boltaña	8	
2009	22067	Bonansa	0	
2009	22068	Borau	1	
2009	22069	Broto	5	
2009	22072	Caldearenas	11	
2009	22074	Campo	0	
2009	22075	Camporrells	1	
2009	22076	Canal de Berdún	9	
2009	22077	Candasnos	2	
2009	22078	Canfranc	14	
2009	22079	Capdesaso	3	
2009	22080	Capella	0	
2009	22081	Casbas de Huesca	3	
2009	22082	Castejón del Puente	2	
2009	22083	Castejón de Monegros	8	
2009	22084	Castejón de Sos	1	
2009	22085	Castelflorite	3	
2009	22086	Castiello de Jaca	6	
2009	22087	Castigaleu	0	
2009	22088	Castillazuelo	0	
2009	22089	Castillonroy	1	
2009	22090	Colungo	3	
2009	22094	Chalamera	2	
2009	22095	Chía	0	
2009	22096	Chimillas	1	
2009	22099	Esplús	3	
2009	22102	Estada	0	
2009	22103	Estadilla	2	
2009	22105	Estopiñán del Castillo	0	
2009	22106	Fago	1	
2009	22107	Fanlo	0	
2009	22109	Fiscal	4	
2009	22110	Fonz	3	
2009	22111	Foradada del Toscar	0	
2009	22112	Fraga	40	
2009	22113	Fueva (La)	2	
2009	22114	Gistaín	1	
2009	22115	Grado (El)	2	
2009	22116	Grañén	34	
2009	22117	Graus	7	
2009	22119	Gurrea de Gállego	14	
2009	22122	Hoz de Jaca	3	
2009	22124	Huerto	6	
2009	22125	Huesca	433	
2009	22126	Ibieca	1	
2009	22127	Igriés	7	
2009	22128	Ilche	0	
2009	22129	Isábena	0	
2009	22130	Jaca	70	
2009	22131	Jasa	4	
2009	22133	Labuerda	2	
2009	22135	Laluenga	0	
2009	22136	Lalueza	18	
2009	22137	Lanaja	12	
2009	22139	Laperdiguera	0	
2009	22141	Lascellas-Ponzano	0	
2009	22142	Lascuarre	0	
2009	22143	Laspaúles	0	
2009	22144	Laspuña	2	
2009	22149	Loarre	0	
2009	22150	Loporzano	1	
2009	22151	Loscorrales	0	
2009	22155	Monesma y Cajigar	0	
2009	22156	Monflorite-Lascasas	4	
2009	22157	Montanuy	0	
2009	22158	Monzón	46	
2009	22160	Naval	0	
2009	22162	Novales	2	
2009	22163	Nueno	4	
2009	22164	Olvena	0	
2009	22165	Ontiñena	3	
2009	22167	Osso de Cinca	4	
2009	22168	Palo	0	
2009	22170	Panticosa	36	
