Provincia código	Provincia nombre	Año	Sistema de cultivo	Total (A+B+C+D+E+F+G)	(A) CEREALES. Total	Trigo	Cebada	Avena	Centeno	Trigo escaña o Escaña	Tranquillón o Morcajo	Arroz	Maíz	Sorgo	Mijo y Panizo	Alpiste	Otros cereales	Triticale	Trigo espelta o Espelta	Mezcla de cereales	(B) LEGUMINOSAS. Total	Judías secas	Habas secas	Lentejas	Garbanzos	Guisantes secos	Veza	Almortas	Altramuz	Alhova	Yeros	Otras leguminosas	(C) TUBÉRCULOS. Total	Patata temprana	Patata media estación	Patata tardía	Chufa	(D) CULTIVOS INDUSTRIALES. Total	Cáñamo textil	Remolacha	Lino textil	Lino oleaginoso	Cominos	Girasol	Soja	Pimiento para pimentón	Cártamo	Azafrán	Otros cultivos industriales	Colza	Lavanda y lavandín	(E) FLORES Y ORNAMENTALES. Total	(F) FORRAJES. Total	Maíz forrajero	Sorgo forrajero	Vallico	Otras gramíneas forrajeras	Alfalfa	Trébol	Esparceta	Veza forrajera	Zulla	Habas forrajeras	Nabo forrajero	Remolacha forrajera	Praderas polifitas	Calabaza forrajera	Cardo y Otras	(G) HORTALIZAS. Total	Col y Repollo	Berza	Espárragos	Apio	Lechuga	Escarola	Espinacas	Acelga	Cardo	Achicoria verde	Sandía	Melón	Calabazas y Calabacín	Pepino	Pepinillo	Berenjena	Tomates	Pimiento	Fresa y Fresón	Alcachofa	Coliflor	Ajo	Cebolla	Cebolleta	Puerros	Remolacha de mesa	Zanahoria	Rábano	Nabo y Otras	Judías verdes	Guisantes verdes	Habas verdes	Setas	Otras hortalizas	Mezcla de hortalizas	Endivias	Borraja
50	Zaragoza	2018	Regadío	142459	87187	38343	33475	597	120	25	0	2195	11502	259	0	2	27	642	0	0	2186	7	270	2	12	774	1112	0	0	2	7	0	243	0	180	63	0	2658	8	2	0	0	0	1357	10	0	13	0	22	1246	0	2	44239	0	0	2051	4731	36975	4	62	115	0	3	0	0	244	0	54	5944	18	0	49	1	5	11	15	61	20	75	5	8	82	2	0	17	660	127	0	33	153	35	1288	0	193	0	1	0	4	32	1403	959	0	687	0	0	0
50	Zaragoza	2018	Secano	288782	268578	111591	138297	7862	4484	65	0	1	56	0	15	5	18	6184	0	0	6199	0	37	103	50	3108	2471	0	0	0	405	25	7	0	1	6	0	6947	0	0	0	0	0	5616	0	0	70	0	158	1102	1	0	7002	0	0	496	544	3028	0	1984	191	0	0	0	0	611	0	148	49	1	5	1	0	0	0	0	0	0	3	6	2	1	0	0	0	1	0	0	0	0	1	6	0	0	0	0	0	0	5	0	0	0	17	0	0	0
22	Huesca	2017	Regadío	170011	117497	15424	58163	822	19	116	0	3270	38135	439	11	2	265	831	0	0	3285	1	168	8	2	2124	981	0	0	0	1	0	40	0	40	0	0	1300	0	0	0	0	0	792	47	0	0	0	0	461	0	0	43199	0	0	4911	3035	33159	3	66	328	1	0	0	0	1363	0	333	4690	1	0	2	1	2	1	0	3	0	103	0	5	6	0	0	0	14	16	7	2	2	0	308	0	5	0	0	0	125	6	3869	107	0	105	0	0	0
22	Huesca	2017	Secano	222719	181010	44541	128186	2389	372	39	13	4	341	95	0	2	57	4971	0	0	14258	0	353	0	21	8177	5686	0	0	0	21	0	13	0	13	0	0	2786	0	0	0	0	0	256	0	0	126	0	151	2253	0	14	24619	0	0	2038	2002	8130	1	2829	1157	7	0	0	0	6764	0	1691	19	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	8	0	0	0
44	Teruel	2017	Regadío	20036	16593	2863	9419	580	369	8	0	48	2258	69	0	0	12	967	0	0	130	0	0	0	0	40	84	0	0	0	6	0	154	0	5	149	0	423	7	1	0	0	0	282	26	0	0	3	6	45	53	0	2638	0	19	79	68	1716	2	187	98	0	0	0	0	0	0	469	98	2	0	13	0	1	0	0	0	0	0	1	0	1	0	0	0	8	0	0	3	0	0	26	0	1	0	0	0	0	1	0	0	0	41	0	0	0
44	Teruel	2017	Secano	191531	169949	35561	90633	17265	7747	490	0	0	143	0	13	0	14	18083	0	0	632	0	0	15	12	74	317	0	0	0	214	0	83	0	0	83	0	3797	0	0	0	0	0	3569	1	0	43	12	116	49	7	0	17057	0	64	52	609	4772	0	6821	490	0	0	0	0	0	0	4249	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	10	0	0	0
50	Zaragoza	2017	Regadío	142993	87788	37896	32249	501	16	46	0	2261	14091	225	0	0	15	488	0	0	2064	2	370	4	1	992	679	0	0	0	16	0	247	0	229	18	0	1999	0	1	0	1	0	1183	35	0	0	0	46	733	0	3	44904	0	0	1934	4396	38136	6	56	55	0	0	0	0	258	0	63	5988	9	0	51	0	7	12	8	72	22	74	12	22	92	4	1	14	718	155	0	32	128	39	1258	1	227	0	0	0	5	57	1251	1026	0	691	0	0	0
50	Zaragoza	2017	Secano	298356	280830	125514	136911	9011	3471	452	1	0	53	3	12	2	64	5336	0	0	5005	0	11	152	19	2815	1616	0	0	2	372	18	10	0	10	0	0	5876	0	0	0	0	0	4960	0	0	1	0	233	681	1	0	6602	0	0	417	293	2919	0	1879	284	0	0	0	0	657	0	153	33	0	3	2	0	0	0	0	0	0	3	3	3	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	13	0	0	0
22	Huesca	2016	Regadío	177953	115949	17230	46336	417	28	125	0	3203	46223	1151	78	0	21	1137	0	0	3956	4	75	0	1	2619	1257	0	0	0	0	0	39	39	0	0	0	4003	0	0	0	1	0	3507	9	0	0	0	0	486	0	0	48319	0	0	3564	5102	35520	0	78	0	0	0	0	0	1813	0	2242	5687	0	0	2	0	1	2	51	2	0	0	1	3	11	0	0	0	31	16	7	1	3	1	329	0	3	0	0	0	105	4	4939	0	175	0	0	0	0
22	Huesca	2016	Secano	233137	182649	44843	129797	2018	414	34	0	7	429	291	5	3	0	4808	0	0	14969	0	58	0	6	9799	5056	0	0	0	50	0	10	10	0	0	0	2550	0	0	0	0	0	379	0	0	73	0	77	2021	0	16	32921	0	0	1744	640	7974	34	2791	0	0	0	0	0	9119	0	10619	22	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	6	1	0	0	7	0	0	0	0
44	Teruel	2016	Regadío	20486	17275	3843	8169	549	578	0	0	47	2869	123	0	0	0	1097	0	0	181	0	0	0	0	15	158	0	0	0	8	0	155	0	2	153	0	522	16	0	0	0	0	419	46	0	0	4	4	8	25	2	2282	0	0	69	52	1884	2	177	49	0	0	0	0	0	0	49	69	0	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	5	1	0	0	4	0	23	0	0	0	0	0	0	0	0	0	21	0	0	0	0
44	Teruel	2016	Secano	187112	169842	39642	80884	15234	12749	148	0	0	230	65	1	0	3	20886	0	0	1165	0	0	12	6	160	704	0	0	0	283	0	65	0	0	65	0	3468	0	0	0	0	0	3173	0	0	14	10	150	97	24	0	12567	0	1	25	102	5067	0	6937	16	2	0	0	1	0	0	416	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
50	Zaragoza	2016	Regadío	146638	89189	39404	27000	607	23	169	0	2202	18686	596	1	3	5	493	0	0	1652	0	182	2	0	916	545	0	0	0	7	0	237	19	179	39	0	2391	1	2	0	0	0	1651	0	0	2	0	34	698	3	0	48465	0	0	1385	8617	37699	6	62	0	0	0	0	0	516	0	180	4704	473	0	49	0	19	59	74	90	13	0	15	22	80	0	0	15	689	112	0	31	221	36	1201	3	182	0	1	0	0	11	869	250	128	2	0	0	59
50	Zaragoza	2016	Secano	293714	276434	131633	127279	5993	5623	634	1	14	115	15	4	2	0	5121	0	0	4942	0	11	99	64	2724	1692	0	0	0	337	15	7	0	7	0	0	5849	0	0	0	0	0	4841	0	0	0	0	229	777	2	2	6404	0	0	314	250	2868	0	1856	0	0	0	0	0	793	0	323	76	12	0	1	0	0	0	0	0	0	0	3	2	4	0	0	0	34	0	0	1	0	0	11	0	0	0	0	0	0	0	0	0	4	0	0	0	4
22	Huesca	2015	Regadío	173559	116089	19316	53010	466	8	146	3	3572	37831	697	4	2	32	1002	0	0	5064	2	3	22	1	3248	1788	0	0	0	0	0	47	47	0	0	0	1266	0	0	0	1	0	557	5	0	0	0	0	703	0	0	46962	0	0	3842	5280	33553	6	76	0	0	0	0	0	1886	0	2319	4131	1	0	3	0	4	32	0	1	0	0	3	9	7	0	0	0	46	6	0	4	1	5	301	0	1	0	0	0	55	2	3649	0	0	0	0	0	1
22	Huesca	2015	Secano	229048	177585	44489	126016	1920	419	19	0	3	175	130	0	0	420	3994	0	0	16042	0	3	0	61	11086	4659	0	0	0	233	0	8	8	0	0	0	3447	0	0	0	0	0	219	0	0	111	0	124	2993	0	14	31942	0	0	1459	566	7651	45	2506	0	1	0	0	0	9095	0	10619	10	0	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
44	Teruel	2015	Regadío	20763	17706	3060	9188	566	506	0	0	47	3116	55	0	0	491	677	0	0	196	0	0	0	1	53	110	0	0	0	32	0	164	0	5	159	0	347	2	0	0	0	0	271	0	0	0	1	5	58	10	2	2233	0	0	78	42	1914	0	169	0	0	0	0	1	0	0	29	115	13	0	15	0	0	0	1	1	0	0	0	1	16	0	0	0	4	0	0	0	2	0	32	0	1	0	0	0	0	11	0	0	18	0	0	0	0
44	Teruel	2015	Secano	198750	181184	38734	95236	15648	9886	282	30	0	151	41	0	0	9988	11188	0	0	1768	0	0	31	12	374	925	0	0	0	426	0	75	0	0	75	0	3504	0	0	0	0	0	3220	0	0	177	10	40	42	15	0	12207	0	0	17	178	4778	0	6778	0	0	0	8	0	0	0	448	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0
50	Zaragoza	2015	Regadío	146268	88578	34681	30398	315	75	75	0	2327	19899	342	0	2	65	399	0	0	3528	6	750	0	4	1918	838	0	0	0	12	0	284	21	212	51	0	2454	1	1	0	0	0	1581	0	3	2	0	31	832	3	0	46934	0	0	1304	8792	36357	6	62	0	0	0	0	0	318	0	95	4490	382	0	46	1	18	43	59	75	22	0	10	23	59	1	0	18	627	116	0	27	113	43	1212	2	167	0	0	1	2	12	0	0	89	1275	0	0	47
50	Zaragoza	2015	Secano	296779	279081	125123	133915	7247	3901	282	4	0	86	0	0	1	3915	4607	0	0	5708	0	35	88	129	2922	1783	0	0	0	735	16	6	0	5	1	0	5698	0	0	0	0	0	4797	0	0	19	0	206	676	0	1	6232	0	0	170	242	2689	0	1749	0	0	0	0	0	989	0	393	53	12	0	1	0	0	0	1	0	0	0	3	5	1	0	0	0	14	0	0	0	0	0	6	0	1	0	0	0	0	0	0	0	4	0	0	0	5
